reactants,products,id,family,type,depth,status,verdict,decided
CF2_v + Ar,CF2 + Ar,cand_CF2_v_Ar_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + Ar,CF3 + Ar,cand_CF3_v_Ar_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF4_v + Ar,CF4 + Ar,cand_CF4_v_Ar_vt,neutral_neutral,vibrational_relaxation,1,candidate,unattested,no
CF_v + Ar,CF + Ar,cand_CF_v_Ar_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
F2_v + Ar,F2 + Ar,cand_F2_v_Ar_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
Ar_4s + C,Ar + C+ + e,cand_Ar_4s_C_penning,neutral_neutral,penning_ionization,2,candidate,unattested,no
CF2_v + Ar_4s,CF2 + Ar_4s,cand_CF2_v_Ar_4s_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
Ar_4s + CF3,Ar + CF3+ + e,cand_Ar_4s_CF3_penning,neutral_neutral,penning_ionization,1,candidate,unattested,no
CF3_v + Ar_4s,CF3 + Ar_4s,cand_CF3_v_Ar_4s_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF4_v + Ar_4s,CF4 + Ar_4s,cand_CF4_v_Ar_4s_vt,neutral_neutral,vibrational_relaxation,1,candidate,unattested,no
CF_v + Ar_4s,CF + Ar_4s,cand_CF_v_Ar_4s_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
F2_v + Ar_4s,F2 + Ar_4s,cand_F2_v_Ar_4s_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF2_v + C,CF2 + C,cand_CF2_v_C_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + C,CF3 + C,cand_CF3_v_C_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF4_v + C,CF4 + C,cand_CF4_v_C_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF_v + C,CF + C,cand_CF_v_C_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
F2_v + C,F2 + C,cand_F2_v_C_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF2_v + CF,CF2 + CF,cand_CF2_v_CF_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + CF,CF3 + CF,cand_CF3_v_CF_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF4_v + CF,CF4 + CF,cand_CF4_v_CF_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF_v + CF,CF + CF,cand_CF_v_CF_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
F2 + CF,CF2 + F,F2_CF_to_CF2_F,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1007/s11090-013-9513-1,yes
F2_v + CF,F2 + CF,cand_F2_v_CF_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF2_v + CF*,CF2 + CF*,cand_CF2_v_CF*_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
CF3_v + CF*,CF3 + CF*,cand_CF3_v_CF*_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
CF4_v + CF*,CF4 + CF*,cand_CF4_v_CF*_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
CF_v + CF*,CF + CF*,cand_CF_v_CF*_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
F2_v + CF*,F2 + CF*,cand_F2_v_CF*_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
CF2_v + CF2,CF2 + CF2,cand_CF2_v_CF2_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + CF2,CF3 + CF2,cand_CF3_v_CF2_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF4_v + CF2,CF4 + CF2,cand_CF4_v_CF2_vt,neutral_neutral,vibrational_relaxation,1,candidate,unattested,no
CF_v + CF2,CF + CF2,cand_CF_v_CF2_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
F2 + CF2,CF3 + F,F2_CF2_to_CF3_F,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1007/s11090-013-9513-1,yes
