id,formula,charge,state_kind,depth,status,reactions,ready,missing,n_Ar,n_C,n_F,mass_amu,polarizability_A3,dipole_moment_D,collision_radius_A,well_depth_K,enthalpy_formation_eV,entropy_J_mol_K,ionization_energy_eV,electron_affinity_eV,vibrational_quantum_eV
Ar,Ar,0,ground,0,curated,58,yes,,1,0,0,39.948,1.6411,0.0,1.7037,123.55,0.0,154.8,15.759612,-11.5,
Ar_4s,Ar,0,excited,1,literature_supported,37,yes,,1,0,0,39.948,1.6423,0.0,1.7037,123.55,11.6,,4.16,,
C,C,0,ground,2,literature_supported,44,yes,,0,1,0,12.011,1.6745,0.0,,,7.429865,158.1,11.260288,1.262119,
CF4,CF4,0,ground,0,estimated,78,yes,,0,1,4,88.0043,2.824,0.0,2.35,134.0,-9.673802,261.6,14.7,,0.1017
CF4*,CF4,0,excited,1,candidate,29,yes,,0,1,4,88.0043,2.824,0.0,2.35,134.0,,,,,
CF4_v,CF4,0,excited,1,candidate,48,yes,,0,1,4,88.0043,2.824,0.0,2.35,134.0,-9.572102,,,,
C_1D,C,0,excited,2,literature_supported,26,yes,,0,1,0,12.011,1.6745,0.0,,,8.693593,,,,
C_1S,C,0,excited,2,literature_supported,29,yes,,0,1,0,12.011,1.6745,0.0,,,10.113879,,,,
F,F,0,ground,1,curated,219,yes,,0,0,1,18.9984032,0.557,0.0,,,0.822654,158.8,17.42282,3.40119,
F*,F,0,excited,2,candidate,18,yes,,0,0,1,18.9984032,0.557,0.0,,,,,,,
F2,F2,0,ground,1,literature_supported,110,yes,,0,0,2,37.996,1.16,0.0,1.6785,112.6,0.0,202.8,,,0.0991
F2*,F2,0,excited,2,candidate,28,yes,,0,0,2,37.996,1.16,0.0,1.6785,112.6,,,,,
F2_v,F2,0,excited,2,candidate,47,yes,,0,0,2,37.996,1.16,0.0,1.6785,112.6,0.0991,,,,
