id,charge,depth,status,reactions,ready,missing
Ar,0,0,curated,58,yes,
Ar+,1,1,curated,49,yes,
Ar_4s,0,1,literature_supported,37,yes,
C,0,2,literature_supported,44,yes,
CF,0,2,literature_supported,64,yes,
CF2,0,1,estimated,84,yes,
CF2+,1,1,estimated,77,yes,
CF3,0,1,estimated,81,yes,
CF3+,1,1,estimated,89,yes,
CF4,0,0,estimated,78,yes,
CF4+,1,2,estimated,77,yes,
C_1D,0,2,literature_supported,26,yes,
C_1S,0,2,literature_supported,29,yes,
F,0,1,curated,219,yes,
F+,1,1,curated,50,yes,
F2,0,1,literature_supported,110,yes,
F2+,1,2,literature_supported,60,yes,
