reactants,products,id,family,type,depth,status,verdict,decided
e + Ar,e + Ar,e_Ar_elastic,electron,elastic,0,curated,unknown,no
e + Ar,e + Ar_4s,e_Ar_excitation_4s_lumped,electron,excitation,0,curated,unknown,no
e + Ar,e + Ar+,e_Ar_ionization,electron,ionization,0,curated,unknown,no
e + Ar_4s,e + Ar,e_Ar4s_superelastic,electron,deexcitation,1,literature_supported,exothermic by 11.60 eV,yes
e + Ar_4s,e + Ar_4s,e_Ar4s_elastic,electron,elastic,1,literature_supported,unknown,no
e + Ar_4s,e + Ar+,e_Ar4s_stepwise_ionization,electron,ionization,1,literature_supported,unknown,no
e + C,e + C,cand_e_C_to_e_C,electron,elastic,2,candidate,unknown,no
e + C,e + C_1D,e_C_excitation_C_1D,electron,excitation,2,literature_supported,unknown,no
e + C,e + C_1S,e_C_excitation_C_1S,electron,excitation,2,literature_supported,unknown,no
e + C,e + e + C+,cand_e_C_to_e_e_Cp,electron,ionization,2,candidate,unknown,no
e + CF,e + F + C_1D,cand_CF_diss_C_1D,electron,dissociation,2,candidate,endothermic by 6.87 eV,yes
e + CF,e + F + C_1S,cand_CF_diss_C_1S,electron,dissociation,2,candidate,endothermic by 8.29 eV,yes
e + CF,e + C + F,e_CF_dissociation_C_F,electron,dissociation,2,literature_supported,unknown,no
e + CF,e + e + C+ + F,cand_e_CF_to_e_e_Cp_F,electron,dissociative_ionization,2,candidate,unknown,no
e + CF,e + CF,cand_e_CF_to_e_CF,electron,elastic,2,candidate,unknown,no
e + CF,e + CF*,cand_e_CF_to_e_CF*,electron,excitation,2,candidate,unknown,no
e + CF,e + CF_v,cand_e_CF_to_e_CF_v,electron,excitation,2,candidate,unknown,no
e + CF,e + e + CF+,cand_e_CF_to_e_e_CFp,electron,ionization,2,candidate,unknown,no
e + CF*,e + CF,cand_e_CF*_to_e_CF,electron,deexcitation,2,candidate,unknown,no
e + CF*,e + C + F,cand_e_CF*_to_e_C_F,electron,dissociation,3,candidate,unknown,no
e + CF*,e + e + C+ + F,cand_e_CF*_to_e_e_Cp_F,electron,dissociative_ionization,3,candidate,unknown,no
e + CF*,e + CF*,cand_e_CF*_to_e_CF*,electron,elastic,3,candidate,unknown,no
e + CF*,e + e + CF+,cand_e_CF*_to_e_e_CFp,electron,ionization,3,candidate,unknown,no
e + CF2,e + F2 + C_1D,cand_CF2_diss_C_1D,electron,dissociation,1,candidate,endothermic by 10.58 eV,yes
e + CF2,e + F2 + C_1S,cand_CF2_diss_C_1S,electron,dissociation,1,candidate,endothermic by 12.00 eV,yes
e + CF2,e + C + F2,cand_e_CF2_to_e_C_F2,electron,dissociation,1,candidate,unknown,no
e + CF2,e + CF + F,e_CF2_dissociation_CF_F,electron,dissociation,1,literature_supported,unknown,no
e + CF2,e + C + F,e_CF2_dissociation_C_2F,electron,dissociation,1,literature_supported,unknown,no
e + CF2,e + e + CF+ + F,cand_e_CF2_to_e_e_CFp_F,electron,dissociative_ionization,1,candidate,unknown,no
e + CF2,e + e + C+ + F2,cand_e_CF2_to_e_e_Cp_F2,electron,dissociative_ionization,1,candidate,unknown,no
e + CF2,e + CF2,cand_e_CF2_to_e_CF2,electron,elastic,1,candidate,unknown,no
e + CF2,e + CF2*,cand_e_CF2_to_e_CF2*,electron,excitation,1,candidate,unknown,no
e + CF2,e + CF2_v,cand_e_CF2_to_e_CF2_v,electron,excitation,1,candidate,unknown,no
e + CF2,e + CF2+,e_CF2_ionization_CF2p,electron,ionization,1,curated,unknown,no
e + CF2*,e + CF2,cand_e_CF2*_to_e_CF2,electron,deexcitation,1,candidate,unknown,no
e + CF2*,e + CF + F,cand_e_CF2*_to_e_CF_F,electron,dissociation,2,candidate,unknown,no
e + CF2*,e + C + F2,cand_e_CF2*_to_e_C_F2,electron,dissociation,2,candidate,unknown,no
e + CF2*,e + e + CF+ + F,cand_e_CF2*_to_e_e_CFp_F,electron,dissociative_ionization,2,candidate,unknown,no
e + CF2*,e + e + C+ + F2,cand_e_CF2*_to_e_e_Cp_F2,electron,dissociative_ionization,2,candidate,unknown,no
e + CF2*,e + CF2*,cand_e_CF2*_to_e_CF2*,electron,elastic,2,candidate,unknown,no
e + CF2*,e + e + CF2+,cand_e_CF2*_to_e_e_CF2p,electron,ionization,2,candidate,unknown,no
e + CF2_v,e + CF2,cand_e_CF2_v_to_e_CF2,electron,deexcitation,1,candidate,unknown,no
e + CF2_v,e + CF + F,cand_e_CF2_v_to_e_CF_F,electron,dissociation,2,candidate,unknown,no
e + CF2_v,e + C + F2,cand_e_CF2_v_to_e_C_F2,electron,dissociation,2,candidate,unknown,no
e + CF2_v,e + e + CF+ + F,cand_e_CF2_v_to_e_e_CFp_F,electron,dissociative_ionization,2,candidate,unknown,no
e + CF2_v,e + e + C+ + F2,cand_e_CF2_v_to_e_e_Cp_F2,electron,dissociative_ionization,2,candidate,unknown,no
e + CF2_v,e + CF2_v,cand_e_CF2_v_to_e_CF2_v,electron,elastic,2,candidate,unknown,no
e + CF2_v,e + e + CF2+,cand_e_CF2_v_to_e_e_CF2p,electron,ionization,2,candidate,unknown,no
e + CF3,e + CF + F2,cand_e_CF3_to_e_CF_F2,electron,dissociation,1,candidate,unknown,no
e + CF3,e + CF2 + F,e_CF3_dissociation_CF2_F,electron,dissociation,1,literature_supported,unknown,no
e + CF3,e + e + CF2+ + F,cand_e_CF3_to_e_e_CF2p_F,electron,dissociative_ionization,1,candidate,unknown,no
e + CF3,e + e + CF+ + F2,cand_e_CF3_to_e_e_CFp_F2,electron,dissociative_ionization,1,candidate,unknown,no
e + CF3,e + CF3,cand_e_CF3_to_e_CF3,electron,elastic,1,candidate,unknown,no
e + CF3,e + CF3*,cand_e_CF3_to_e_CF3*,electron,excitation,1,candidate,unknown,no
e + CF3,e + CF3_v,cand_e_CF3_to_e_CF3_v,electron,excitation,1,candidate,unknown,no
e + CF3,e + CF3+,e_CF3_ionization_CF3p,electron,ionization,1,curated,unknown,no
e + CF3*,e + CF3,cand_e_CF3*_to_e_CF3,electron,deexcitation,1,candidate,unknown,no
e + CF3*,e + CF2 + F,cand_e_CF3*_to_e_CF2_F,electron,dissociation,2,candidate,unknown,no
e + CF3*,e + CF + F2,cand_e_CF3*_to_e_CF_F2,electron,dissociation,2,candidate,unknown,no
e + CF3*,e + e + CF2+ + F,cand_e_CF3*_to_e_e_CF2p_F,electron,dissociative_ionization,2,candidate,unknown,no
e + CF3*,e + e + CF+ + F2,cand_e_CF3*_to_e_e_CFp_F2,electron,dissociative_ionization,2,candidate,unknown,no
e + CF3*,e + CF3*,cand_e_CF3*_to_e_CF3*,electron,elastic,2,candidate,unknown,no
e + CF3*,e + e + CF3+,cand_e_CF3*_to_e_e_CF3p,electron,ionization,2,candidate,unknown,no
e + CF3_v,e + CF3,cand_e_CF3_v_to_e_CF3,electron,deexcitation,1,candidate,unknown,no
e + CF3_v,e + CF2 + F,cand_e_CF3_v_to_e_CF2_F,electron,dissociation,2,candidate,unknown,no
