bodies,reactants,products,id,family,type,depth,status,verdict
2,CF4+ + Ar,CF4 + Ar+,cand_CF4p_Ar_char_CF4_Arp,ion_neutral,charge_transfer,2,candidate,endothermic by 1.06 eV
2,CF4+ + Ar,CF3+ + F + Ar,cand_CF4p_Ar_diss_CF3p_F_Ar,ion_neutral,dissociative_charge_transfer,2,candidate,exothermic by 0.01 eV
2,F+ + Ar,F + Ar+,cand_Fp_Ar_char_F_Arp,ion_neutral,charge_transfer,1,candidate,exothermic by 1.66 eV
2,F2+ + Ar,F2 + Ar+,cand_F2p_Ar_char_F2_Arp,ion_neutral,charge_transfer,2,candidate,endothermic by 0.07 eV
2,F2+ + Ar,F + F + Ar+,cand_F2p_Ar_diss_F_F_Arp,ion_neutral,dissociative_charge_transfer,2,candidate,endothermic by 1.71 eV
2,Ar+ + C,Ar + C+,cand_Arp_C_char_Ar_Cp,ion_neutral,charge_transfer,2,candidate,exothermic by 4.50 eV
2,Ar+ + CF,Ar + C+ + F,cand_Arp_CF_diss_Ar_Cp_F,ion_neutral,dissociative_charge_transfer,2,candidate,endothermic by 1.11 eV
2,Ar+ + CF*,Ar + C+ + F,cand_Arp_CF*_diss_Ar_Cp_F,ion_neutral,dissociative_charge_transfer,3,candidate,endothermic by 1.11 eV
2,Ar+ + CF2,Ar + CF2+,cand_Arp_CF2_char_Ar_CF2p,ion_neutral,charge_transfer,1,candidate,exothermic by 4.40 eV
2,Ar+ + CF2*,Ar + CF2+,cand_Arp_CF2*_char_Ar_CF2p,ion_neutral,charge_transfer,2,candidate,exothermic by 4.40 eV
2,Ar+ + CF2_v,Ar + CF2+,cand_Arp_CF2_v_char_Ar_CF2p,ion_neutral,charge_transfer,2,candidate,exothermic by 4.40 eV
2,Ar+ + CF3,Ar + CF3+,cand_Arp_CF3_char_Ar_CF3p,ion_neutral,charge_transfer,1,candidate,exothermic by 6.71 eV
2,Ar+ + CF3,Ar + CF2+ + F,cand_Arp_CF3_diss_Ar_CF2p_F,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 0.61 eV
2,Ar+ + CF3*,Ar + CF3+,cand_Arp_CF3*_char_Ar_CF3p,ion_neutral,charge_transfer,2,candidate,exothermic by 6.71 eV
2,Ar+ + CF3*,Ar + CF2+ + F,cand_Arp_CF3*_diss_Ar_CF2p_F,ion_neutral,dissociative_charge_transfer,2,candidate,exothermic by 0.61 eV
2,Ar+ + CF3_v,Ar + CF3+,cand_Arp_CF3_v_char_Ar_CF3p,ion_neutral,charge_transfer,2,candidate,exothermic by 6.71 eV
2,Ar+ + CF3_v,Ar + CF2+ + F,cand_Arp_CF3_v_diss_Ar_CF2p_F,ion_neutral,dissociative_charge_transfer,2,candidate,exothermic by 0.61 eV
2,Ar+ + CF4,Ar + CF4+,cand_Arp_CF4_char_Ar_CF4p,ion_neutral,charge_transfer,1,candidate,exothermic by 1.06 eV
2,Ar+ + CF4,Ar + CF3+ + F,cand_Arp_CF4_diss_Ar_CF3p_F,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 1.07 eV
2,Ar+ + CF4*,Ar + CF4+,cand_Arp_CF4*_char_Ar_CF4p,ion_neutral,charge_transfer,1,candidate,exothermic by 1.06 eV
2,Ar+ + CF4*,Ar + CF3+ + F,cand_Arp_CF4*_diss_Ar_CF3p_F,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 1.07 eV
2,Ar+ + CF4_v,Ar + CF4+,cand_Arp_CF4_v_char_Ar_CF4p,ion_neutral,charge_transfer,1,candidate,exothermic by 1.06 eV
2,Ar+ + CF4_v,Ar + CF3+ + F,cand_Arp_CF4_v_diss_Ar_CF3p_F,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 1.07 eV
2,Ar+ + CF_v,Ar + C+ + F,cand_Arp_CF_v_diss_Ar_Cp_F,ion_neutral,dissociative_charge_transfer,3,candidate,endothermic by 1.11 eV
2,Ar+ + C_1D,Ar + C+,cand_Arp_C_1D_char_Ar_Cp,ion_neutral,charge_transfer,2,candidate,exothermic by 5.76 eV
2,Ar+ + C_1S,Ar + C+,cand_Arp_C_1S_char_Ar_Cp,ion_neutral,charge_transfer,2,candidate,exothermic by 7.18 eV
2,Ar+ + F,Ar + F+,cand_Arp_F_char_Ar_Fp,ion_neutral,charge_transfer,1,candidate,endothermic by 1.66 eV
2,Ar+ + F*,Ar + F+,cand_Arp_F*_char_Ar_Fp,ion_neutral,charge_transfer,2,candidate,endothermic by 1.66 eV
2,Ar+ + F2,Ar + F2+,cand_Arp_F2_char_Ar_F2p,ion_neutral,charge_transfer,1,candidate,exothermic by 0.07 eV
2,Ar+ + F2,Ar+ + F + F,cand_Arp_F2_reac_Arp_F_F,ion_neutral,reactive_scattering,1,candidate,endothermic by 1.65 eV
2,Ar+ + F2*,Ar + F2+,cand_Arp_F2*_char_Ar_F2p,ion_neutral,charge_transfer,2,candidate,exothermic by 0.07 eV
2,Ar+ + F2*,Ar+ + F + F,cand_Arp_F2*_reac_Arp_F_F,ion_neutral,reactive_scattering,2,candidate,endothermic by 1.65 eV
2,Ar+ + F2_v,Ar + F2+,cand_Arp_F2_v_char_Ar_F2p,ion_neutral,charge_transfer,2,candidate,exothermic by 0.07 eV
2,Ar+ + F2_v,Ar+ + F + F,cand_Arp_F2_v_reac_Arp_F_F,ion_neutral,reactive_scattering,2,candidate,endothermic by 1.65 eV
