id,equation,family,type,status,verdict
e_Ar_elastic,e + Ar -> e + Ar,electron,elastic,curated,unknown
e_Ar_excitation_4s_lumped,e + Ar -> e + Ar_4s,electron,excitation,curated,unknown
e_Ar_ionization,e + Ar -> 2 e + Ar+,electron,ionization,curated,unknown
e_CF4_elastic,e + CF4 -> e + CF4,electron,elastic,curated,unknown
e_CF4_dissociation_CF3_F,e + CF4 -> e + CF3 + F,electron,dissociation,curated,unknown
e_CF4_dissociation_CF2_2F,e + CF4 -> e + CF2 + 2 F,electron,dissociation,curated,unknown
e_CF4_dissociative_ionization_CF3p,e + CF4 -> 2 e + CF3+ + F,electron,dissociative_ionization,curated,unknown
e_CF4_dissociative_ionization_Fp_CF3,e + CF4 -> 2 e + CF3 + F+,electron,dissociative_ionization,literature_supported,unknown
e_CF4_dissociative_ionization_CF2p,e + CF4 -> 2 e + CF2+ + 2 F,electron,dissociative_ionization,curated,unknown
cand_e_CF4_to_e_CF4_v,e + CF4 -> e + CF4_v,electron,excitation,candidate,unknown
cand_e_CF4_v_to_e_CF4,e + CF4_v -> e + CF4,electron,deexcitation,candidate,unknown
cand_e_CF4_to_e_CF4*,e + CF4 -> e + CF4*,electron,excitation,candidate,unknown
cand_e_CF4*_to_e_CF4,e + CF4* -> e + CF4,electron,deexcitation,candidate,unknown
cand_e_CF4_to_e_CF2_F2,e + CF4 -> e + CF2 + F2,electron,dissociation,candidate,unknown
cand_e_CF4_to_e_e_CF2p_F2,e + CF4 -> e + e + CF2+ + F2,electron,dissociative_ionization,candidate,unknown
e_Ar4s_elastic,e + Ar_4s -> e + Ar_4s,electron,elastic,literature_supported,unknown
e_Ar4s_stepwise_ionization,e + Ar_4s -> 2 e + Ar+,electron,ionization,literature_supported,unknown
e_Ar4s_superelastic,e + Ar_4s -> e + Ar,electron,deexcitation,literature_supported,exothermic by 11.60 eV
e_CF2_ionization_CF2p,e + CF2 -> 2 e + CF2+,electron,ionization,curated,unknown
e_CF2_dissociation_CF_F,e + CF2 -> e + CF + F,electron,dissociation,literature_supported,unknown
e_CF2_dissociation_C_2F,e + CF2 -> e + C + 2 F,electron,dissociation,literature_supported,unknown
e_CF3_ionization_CF3p,e + CF3 -> 2 e + CF3+,electron,ionization,curated,unknown
e_CF3_dissociation_CF2_F,e + CF3 -> e + CF2 + F,electron,dissociation,literature_supported,unknown
e_F_elastic,e + F -> e + F,electron,elastic,curated,unknown
e_F_ionization,e + F -> 2 e + F+,electron,ionization,curated,unknown
e_F2_dissociation_2F,e + F2 -> e + 2 F,electron,dissociation,literature_supported,unknown
e_F2_ionization_F2p,e + F2 -> 2 e + F2+,electron,ionization,literature_supported,unknown
F2_CF2_to_CF3_F,F2 + CF2 -> CF3 + F,neutral_neutral,reactive_scattering,literature_supported,unknown
F2_CF3_to_CF4_F,F2 + CF3 -> CF4 + F,neutral_neutral,reactive_scattering,literature_supported,unknown
cand_e_CF2_to_e_CF2,e + CF2 -> e + CF2,electron,elastic,candidate,unknown
cand_e_CF2_to_e_CF2_v,e + CF2 -> e + CF2_v,electron,excitation,candidate,unknown
cand_e_CF2_v_to_e_CF2,e + CF2_v -> e + CF2,electron,deexcitation,candidate,unknown
cand_e_CF2_to_e_CF2*,e + CF2 -> e + CF2*,electron,excitation,candidate,unknown
cand_e_CF2*_to_e_CF2,e + CF2* -> e + CF2,electron,deexcitation,candidate,unknown
cand_e_CF2_to_e_e_CFp_F,e + CF2 -> e + e + CF+ + F,electron,dissociative_ionization,candidate,unknown
cand_e_CF2_to_e_C_F2,e + CF2 -> e + C + F2,electron,dissociation,candidate,unknown
cand_e_CF2_to_e_e_Cp_F2,e + CF2 -> e + e + C+ + F2,electron,dissociative_ionization,candidate,unknown
cand_e_CF3_to_e_CF3,e + CF3 -> e + CF3,electron,elastic,candidate,unknown
cand_e_CF3_to_e_CF3_v,e + CF3 -> e + CF3_v,electron,excitation,candidate,unknown
cand_e_CF3_v_to_e_CF3,e + CF3_v -> e + CF3,electron,deexcitation,candidate,unknown
cand_e_CF3_to_e_CF3*,e + CF3 -> e + CF3*,electron,excitation,candidate,unknown
cand_e_CF3*_to_e_CF3,e + CF3* -> e + CF3,electron,deexcitation,candidate,unknown
cand_e_CF3_to_e_e_CF2p_F,e + CF3 -> e + e + CF2+ + F,electron,dissociative_ionization,candidate,unknown
cand_e_CF3_to_e_CF_F2,e + CF3 -> e + CF + F2,electron,dissociation,candidate,unknown
cand_e_CF3_to_e_e_CFp_F2,e + CF3 -> e + e + CF+ + F2,electron,dissociative_ionization,candidate,unknown
cand_e_CF4*_to_e_CF4*,e + CF4* -> e + CF4*,electron,elastic,candidate,unknown
cand_e_CF4*_to_e_e_CF4p,e + CF4* -> e + e + CF4+,electron,ionization,candidate,unknown
