id,charge,depth,status,reactions,ready,missing
Ar,0,0,curated,58,yes,
Ar+,1,1,curated,49,yes,
Ar_4s,0,1,literature_supported,37,no,enthalpy_formation_eV
C,0,2,literature_supported,44,yes,
C+,1,2,candidate,56,no,enthalpy_formation_eV|ionization_energy_eV
CF,0,2,literature_supported,64,no,ionization_energy_eV
CF*,0,3,candidate,24,no,enthalpy_formation_eV|ionization_energy_eV
CF+,1,2,candidate,9,no,enthalpy_formation_eV|ionization_energy_eV
CF2,0,1,estimated,84,yes,
CF2*,0,2,candidate,28,no,enthalpy_formation_eV|ionization_energy_eV
CF2+,1,1,estimated,77,no,ionization_energy_eV
CF2_v,0,2,candidate,47,no,enthalpy_formation_eV|ionization_energy_eV
CF3,0,1,estimated,81,yes,
CF3*,0,2,candidate,32,no,enthalpy_formation_eV|ionization_energy_eV
CF3+,1,1,estimated,89,no,ionization_energy_eV
CF3_v,0,2,candidate,51,no,enthalpy_formation_eV|ionization_energy_eV
CF4,0,0,estimated,78,yes,
CF4*,0,1,candidate,29,no,enthalpy_formation_eV|ionization_energy_eV
CF4+,1,2,estimated,77,no,ionization_energy_eV
CF4_v,0,1,candidate,48,no,enthalpy_formation_eV|ionization_energy_eV
CF_v,0,3,candidate,43,no,enthalpy_formation_eV|ionization_energy_eV
C_1D,0,2,literature_supported,26,no,ionization_energy_eV
C_1S,0,2,literature_supported,29,no,ionization_energy_eV
F,0,1,curated,219,yes,
F*,0,2,candidate,18,no,enthalpy_formation_eV|ionization_energy_eV
F+,1,1,curated,50,no,ionization_energy_eV
F2,0,1,literature_supported,110,no,ionization_energy_eV
F2*,0,2,candidate,28,no,enthalpy_formation_eV|ionization_energy_eV
F2+,1,2,literature_supported,60,no,enthalpy_formation_eV|ionization_energy_eV
F2_v,0,2,candidate,47,no,enthalpy_formation_eV|ionization_energy_eV
