id,formula,charge,state_kind,state_label,state_energy_eV,depth,n_Ar,n_C,n_F,mass_amu,polarizability_A3,dipole_moment_D,collision_radius_A,well_depth_K,enthalpy_formation_eV,entropy_J_mol_K,ionization_energy_eV,electron_affinity_eV,vibrational_quantum_eV,has_thermo,status,missing
Ar,Ar,0,ground,X,0.0,0,1,0,0,39.948,1.6411,0.0,1.7037,123.55,0.0,154.8,15.759612,-11.5,,yes,curated,vibrational_quantum_eV
Ar+,Ar,1,ground,X,0.0,1,1,0,0,39.94745,,0.0,,,15.75961,,27.62966,,,yes,curated,polarizability_A3 collision_radius_A well_depth_K entropy_J_mol_K electron_affinity_eV vibrational_quantum_eV
Ar_4s,Ar,0,excited,3p5 4s manifold,11.6,1,1,0,0,39.948,1.6423,0.0,1.7037,123.55,11.6,,4.16,,,yes,literature_supported,entropy_J_mol_K electron_affinity_eV vibrational_quantum_eV
C,C,0,ground,3P,0.0,2,0,1,0,12.011,1.6745,0.0,,,7.429865,158.1,11.260288,1.262119,,no,literature_supported,collision_radius_A well_depth_K vibrational_quantum_eV
C+,C,1,ground,,,2,0,1,0,12.010451,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
CF,CF,0,ground,X,0.0,2,0,1,1,31.009,,1.85,2.0092,243.81,2.645818,,,,,yes,literature_supported,polarizability_A3 entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
CF*,CF,0,excited,lumped,,3,0,1,1,31.009,,1.85,2.0092,243.81,,,,,,no,candidate,polarizability_A3 enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
CF+,CF,1,ground,,,2,0,1,1,31.008855,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
CF2,CF2,0,ground,X,0.0,1,0,1,2,50.0075,,0.469,,,-1.8862970774399115,,11.362,0.179,,yes,estimated,polarizability_A3 collision_radius_A well_depth_K entropy_J_mol_K vibrational_quantum_eV
CF2*,CF2,0,excited,lumped,,2,0,1,2,50.0075,,0.469,,,,,,,,no,candidate,polarizability_A3 collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
CF2+,CF2,1,ground,X,0.0,1,0,1,2,50.0069514,,,,,9.475702922560089,,,,,yes,estimated,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
CF2_v,CF2,0,excited,vibrational,,2,0,1,2,50.0075,,0.469,,,,,,,,no,candidate,polarizability_A3 collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
