id,t_min,t_mid,t_max,a1_low,a2_low,a3_low,a4_low,a5_low,a6_low,a7_low,a1_high,a2_high,a3_high,a4_high,a5_high,a6_high,a7_high,source
Ar,300.0,1000.0,5000.0,2.5,0.0,0.0,0.0,0.0,-745.375,4.366,2.5,0.0,0.0,0.0,0.0,-745.375,4.366,"cantera bundled thermodynamic data, listed as AR in air.yaml"
Ar+,298.15,1000.0,6000.0,2.59316097,-0.00132892944,5.26503944e-06,-5.97956691e-09,2.18967862e-12,182878.368,5.44980575,2.86999547,-0.000142547242,9.36688776e-09,2.92580859e-12,-3.58247941e-16,182702.617,3.5322998,"cantera bundled thermodynamic data, listed as Ar+ in nasa_gas.yaml"
Ar_4s,300.0,1000.0,5000.0,2.5,0.0,0.0,0.0,0.0,133867.0338,4.366,2.5,0.0,0.0,0.0,0.0,133867.0338,4.366,Ar polynomial with the 11.6 eV level energy added to the enthalpy constant
CF,300.0,1000.0,5000.0,3.4655143,-0.00068779805,5.6784766e-06,-6.4582982e-09,2.2988248e-12,29655.598,5.88135489,3.6869679,0.00091143491,-3.6463855e-07,6.7482854e-11,-4.5269596e-15,29478.125,4.17451009,"cantera bundled thermodynamic data, listed as CF in nasa_gas.yaml"
CF2,300.0,1000.0,5000.0,2.7688821,0.0072372962,-1.6028152e-06,-4.5512379e-09,2.6648011e-12,-23015.786,11.1376958,5.2267142,0.002083768,-9.9037278e-07,2.1264848e-10,-1.5831114e-14,-23755.847,-1.91090423,"cantera bundled thermodynamic data, listed as CF2 in nasa_gas.yaml"
CF2+,300.0,1000.0,5000.0,2.9783522,0.0060336602,6.5858785e-10,-5.2129449e-09,2.6663021e-12,112126.75,10.9515563,5.155423,0.002052831,-9.1173911e-07,1.8272761e-10,-1.321364e-14,111431.22,-0.778766841,"cantera bundled thermodynamic data, listed as CF2+ in nasa_gas.yaml"
CF3,300.0,1000.0,5000.0,2.0650168,0.016424158,-1.0838146e-05,-8.5317997e-10,2.387807e-12,-57811.976,15.704693,7.2012622,0.0030663935,-1.3144181e-06,2.4996925e-10,-1.7550928e-14,-59238.631,-10.94571,"cantera bundled thermodynamic data, listed as CF3 in nasa_gas.yaml"
CF3+,300.0,1000.0,5000.0,2.2605576,0.015422323,-9.8956674e-06,-7.8345046e-10,2.1211892e-12,49365.338,13.5784551,7.0225406,0.0032441271,-1.3864875e-06,2.6323637e-10,-1.8464402e-14,48022.318,-11.2065339,"cantera bundled thermodynamic data, listed as CF3+ in nasa_gas.yaml"
CF4,200.0,1000.0,6000.0,1.05143992,0.0278246468,-2.4652526e-05,6.74548304e-09,9.18909316e-13,-113574.067,18.1900899,9.47215359,0.00359525216,-1.40378502e-06,2.39188188e-10,-1.48558906e-14,-115816.337,-24.9709091,"cantera bundled thermodynamic data, listed as CF4 in nasa_gas.yaml"
F,300.0,1000.0,5000.0,2.812874,-3.3023098e-06,-1.289731e-06,1.6837365e-09,-6.4587833e-13,8660.4019,3.0984198,2.7004353,-0.00022293182,9.7941385e-08,-1.9123038e-11,1.3768154e-15,8716.3617,3.8067182,"cantera bundled thermodynamic data, listed as F in SiF4_NH3_mec.yaml"
F+,298.15,1000.0,6000.0,3.08421084,-0.000900062139,-1.64599174e-07,1.10121336e-09,-5.5627092e-13,211619.101,2.14597653,2.68834861,-0.000176182961,6.06940639e-08,-8.91530067e-12,5.47552167e-16,211744.095,4.27480838,"cantera bundled thermodynamic data, listed as F+ in nasa_gas.yaml"
F2,200.0,1000.0,6000.0,3.20832415,0.00125919179,3.89747979e-06,-7.22184984e-09,3.31837862e-12,-1034.25794,5.61903589,3.86166219,0.000788367679,-1.8198294e-07,-9.1743656e-12,2.65193472e-15,-1232.38655,2.04119855,"cantera bundled thermodynamic data, listed as F2 in nasa_gas.yaml"
