bodies,reactants,products,id,family,type,depth,status,verdict
2,O2_v + Ar,O2 + Ar,cand_O2_v_Ar_vt,neutral_neutral,vibrational_relaxation,1,candidate,exothermic by 0.19 eV
2,O2_v + Ar_4s,O2 + Ar_4s,cand_O2_v_Ar_4s_vt,neutral_neutral,vibrational_relaxation,1,candidate,exothermic by 0.19 eV
2,O2_v + O,O2 + O,cand_O2_v_O_vt,neutral_neutral,vibrational_relaxation,1,candidate,exothermic by 0.19 eV
2,O2 + O2_a1Delta,O2,O2a_O2_self_quenching,neutral_neutral,reactive_scattering,1,literature_supported,exothermic by 0.98 eV
2,O2_v + O2,O2 + O2,cand_O2_v_O2_vt,neutral_neutral,vibrational_relaxation,1,candidate,exothermic by 0.19 eV
2,O_1D + O2,O + O2_a1Delta,O1D_O2_quenching_O2_a1Delta,neutral_neutral,reactive_scattering,1,literature_supported,exothermic by 0.99 eV
2,O_1D + O2,O + O2_b1Sigma,O1D_O2_quenching_O2_b1Sigma,neutral_neutral,reactive_scattering,1,literature_supported,exothermic by 0.34 eV
2,O2_v + O2_a1Delta,O2 + O2_a1Delta,cand_O2_v_O2_a1Delta_vt,neutral_neutral,vibrational_relaxation,1,candidate,exothermic by 0.19 eV
2,O2_v + O2_b1Sigma,O2 + O2_b1Sigma,cand_O2_v_O2_b1Sigma_vt,neutral_neutral,vibrational_relaxation,1,candidate,exothermic by 0.19 eV
2,O2_v + O_1D,O2 + O_1D,cand_O2_v_O_1D_vt,neutral_neutral,vibrational_relaxation,1,candidate,exothermic by 0.19 eV
2,O2_v + O_1S,O2 + O_1S,cand_O2_v_O_1S_vt,neutral_neutral,vibrational_relaxation,1,candidate,exothermic by 0.19 eV
