id,equation,family,type,status,verdict
e_Ar_elastic,e + Ar -> e + Ar,electron,elastic,curated,unknown
e_Ar_excitation_4s_lumped,e + Ar -> e + Ar_4s,electron,excitation,curated,unknown
e_Ar_ionization,e + Ar -> 2 e + Ar+,electron,ionization,curated,unknown
e_O2_elastic,e + O2 -> e + O2,electron,elastic,curated,unknown
e_O2_excitation_O2_a1Delta,e + O2 -> e + O2_a1Delta,electron,excitation,curated,unknown
e_O2_excitation_O2_b1Sigma,e + O2 -> e + O2_b1Sigma,electron,excitation,curated,unknown
e_O2_ionization,e + O2 -> 2 e + O2+,electron,ionization,curated,unknown
e_O2_dissociation_O_O,e + O2 -> e + 2 O,electron,dissociation,literature_supported,unknown
e_O2_dissociation_O_O1D,e + O2 -> e + O + O_1D,electron,dissociation,literature_supported,unknown
cand_e_O2_to_e_O2_v,e + O2 -> e + O2_v,electron,excitation,candidate,unknown
cand_e_O2_v_to_e_O2,e + O2_v -> e + O2,electron,deexcitation,candidate,unknown
cand_e_O2_to_e_e_Op_O,e + O2 -> e + e + O+ + O,electron,dissociative_ionization,candidate,unknown
cand_O2_diss_O_1S,e + O2 -> e + O + O_1S,electron,dissociation,candidate,endothermic by 9.36 eV
e_Ar4s_elastic,e + Ar_4s -> e + Ar_4s,electron,elastic,literature_supported,unknown
e_Ar4s_stepwise_ionization,e + Ar_4s -> 2 e + Ar+,electron,ionization,literature_supported,unknown
e_Ar4s_superelastic,e + Ar_4s -> e + Ar,electron,deexcitation,literature_supported,exothermic by 11.60 eV
e_O_elastic,e + O -> e + O,electron,elastic,literature_supported,unknown
e_O_excitation_O_1D,e + O -> e + O_1D,electron,excitation,curated,unknown
e_O_ionization,e + O -> 2 e + O+,electron,ionization,curated,unknown
e_O_excitation_O_1S,e + O -> e + O_1S,electron,excitation,literature_supported,unknown
e_O2_a1Delta_elastic,e + O2_a1Delta -> e + O2_a1Delta,electron,elastic,literature_supported,unknown
e_O2_a1Delta_ionization,e + O2_a1Delta -> 2 e + O2+,electron,ionization,literature_supported,unknown
e_O2_a1Delta_superelastic,e + O2_a1Delta -> e + O2,electron,deexcitation,literature_supported,exothermic by 0.98 eV
e_O2_b1Sigma_elastic,e + O2_b1Sigma -> e + O2_b1Sigma,electron,elastic,literature_supported,unknown
e_O2_b1Sigma_ionization,e + O2_b1Sigma -> 2 e + O2+,electron,ionization,literature_supported,unknown
e_O2_b1Sigma_superelastic,e + O2_b1Sigma -> e + O2,electron,deexcitation,literature_supported,exothermic by 1.63 eV
e_O_1D_elastic,e + O_1D -> e + O_1D,electron,elastic,literature_supported,unknown
e_O_1D_ionization,e + O_1D -> 2 e + O+,electron,ionization,literature_supported,unknown
e_O_1D_superelastic,e + O_1D -> e + O,electron,deexcitation,literature_supported,exothermic by 1.97 eV
e_O_1S_elastic,e + O_1S -> e + O_1S,electron,elastic,literature_supported,unknown
e_O_1S_superelastic,e + O_1S -> e + O,electron,deexcitation,literature_supported,unknown
Arp_O2_charge_transfer,Ar+ + O2 -> Ar + O2+,ion_neutral,charge_transfer,literature_supported,exothermic by 3.69 eV
Op_O2_charge_transfer,O+ + O2 -> O + O2+,ion_neutral,charge_transfer,literature_supported,exothermic by 1.55 eV
O2a_O2_self_quenching,O2 + O2_a1Delta -> 2 O2,neutral_neutral,reactive_scattering,literature_supported,exothermic by 0.98 eV
O1D_O2_quenching_O2_b1Sigma,O_1D + O2 -> O + O2_b1Sigma,neutral_neutral,reactive_scattering,literature_supported,exothermic by 0.34 eV
O1D_O2_quenching_O2_a1Delta,O_1D + O2 -> O + O2_a1Delta,neutral_neutral,reactive_scattering,literature_supported,exothermic by 0.99 eV
cand_e_O2_a1Delta_to_e_O_O,e + O2_a1Delta -> e + O + O,electron,dissociation,candidate,unknown
cand_e_O2_a1Delta_to_e_e_Op_O,e + O2_a1Delta -> e + e + O+ + O,electron,dissociative_ionization,candidate,unknown
cand_e_O2_b1Sigma_to_e_O_O,e + O2_b1Sigma -> e + O + O,electron,dissociation,candidate,unknown
cand_e_O2_b1Sigma_to_e_e_Op_O,e + O2_b1Sigma -> e + e + O+ + O,electron,dissociative_ionization,candidate,unknown
cand_e_O2_v_to_e_O2_v,e + O2_v -> e + O2_v,electron,elastic,candidate,unknown
cand_e_O2_v_to_e_e_O2p,e + O2_v -> e + e + O2+,electron,ionization,candidate,unknown
cand_e_O2_v_to_e_O_O,e + O2_v -> e + O + O,electron,dissociation,candidate,unknown
cand_e_O2_v_to_e_e_Op_O,e + O2_v -> e + e + O+ + O,electron,dissociative_ionization,candidate,unknown
cand_e_O_1S_to_e_e_Op,e + O_1S -> e + e + O+,electron,ionization,candidate,unknown
cand_O2_v_Ar_vt,O2_v + Ar -> O2 + Ar,neutral_neutral,vibrational_relaxation,candidate,unknown
