id,charge,depth,status,reactions,ready,missing
Ar,0,0,curated,16,yes,
Ar+,1,1,curated,13,yes,
Ar_4s,0,1,literature_supported,11,no,enthalpy_formation_eV
O,0,1,curated,35,yes,
O+,1,1,curated,20,yes,
O2,0,0,curated,33,yes,
O2+,1,1,curated,18,no,ionization_energy_eV
O2_a1Delta,0,1,curated,13,no,ionization_energy_eV
O2_b1Sigma,0,1,curated,13,no,ionization_energy_eV
O2_v,0,1,candidate,17,no,enthalpy_formation_eV|ionization_energy_eV
O_1D,0,1,curated,12,no,ionization_energy_eV
O_1S,0,1,literature_supported,10,no,ionization_energy_eV
