id,equation,family,type,depth,consume,threshold_eV,electron_energy_cost_eV,rate_value,rate_unit,rate_basis,reverse_rate,frequency_upper_bound_s-1,relevance,delta_g_eV,status,source
e_Ar_elastic,e + Ar -> e + Ar,electron,elastic,0,cross_section,0.0,,,,,,,unknown,0.0,curated,
e_Ar_excitation_4s_lumped,e + Ar -> e + Ar_4s,electron,excitation,0,cross_section,11.6,11.6,,,,,,unknown,11.599999878283448,curated,
e_Ar_ionization,e + Ar -> 2 e + Ar+,electron,ionization,0,cross_section,15.75961,15.75961,,,,,,unknown,15.775407831330298,curated,
e_O2_elastic,e + O2 -> e + O2,electron,elastic,0,cross_section,0.0,,,,,,,unknown,0.0,curated,
e_O2_excitation_O2_a1Delta,e + O2 -> e + O2_a1Delta,electron,excitation,0,cross_section,0.977,0.977,,,,,,unknown,0.9769999897485282,curated,
e_O2_excitation_O2_b1Sigma,e + O2 -> e + O2_b1Sigma,electron,excitation,0,cross_section,1.627,1.627,,,,,,unknown,1.6269999829282042,curated,
e_O2_ionization,e + O2 -> 2 e + O2+,electron,ionization,0,cross_section,12.0697,12.0697,,,,,,unknown,,curated,
e_O2_dissociation_O_O,e + O2 -> e + 2 O,electron,dissociation,0,cross_section,5.12,5.12,,,,,,unknown,4.677816967714865,literature_supported,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014)."
e_O2_dissociation_O_O1D,e + O2 -> e + O + O_1D,electron,dissociation,0,cross_section,8.57,8.57,,,,,,unknown,6.6448169470755145,literature_supported,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014)."
cand_e_O2_to_e_O2_v,e + O2 -> e + O2_v,electron,excitation,0,cross_section,,-0.1853,,,,,,unknown,,candidate,conservation allows this channel; no source has been consulted
cand_e_O2_v_to_e_O2,e + O2_v -> e + O2,electron,deexcitation,0,cross_section,0.0,0.0,,,,,,unknown,,candidate,conservation allows this channel; no source has been consulted
cand_e_O2_to_e_e_Op_O,e + O2 -> e + e + O+ + O,electron,dissociative_ionization,0,cross_section,,-18.783732,,,,,,unknown,,candidate,conservation allows this channel; no source has been consulted
cand_O2_diss_O_1S,e + O2 -> e + O + O_1S,electron,dissociation,0,cross_section,,-9.3559,,,,,,unknown,8.867562923752672,candidate,"bond energy 5.17 eV plus the 4.19 eV level; the thermodynamic limit, below any measured onset"
e_Ar4s_elastic,e + Ar_4s -> e + Ar_4s,electron,elastic,1,cross_section,0.0,,,,,,,unknown,0.0,literature_supported,
e_Ar4s_stepwise_ionization,e + Ar_4s -> 2 e + Ar+,electron,ionization,1,cross_section,4.16,4.16,,,,,,unknown,4.175407953046849,literature_supported,
e_Ar4s_superelastic,e + Ar_4s -> e + Ar,electron,deexcitation,1,cross_section,0.0,0.0,,,,,,unknown,-11.599999878283448,literature_supported,
e_O_elastic,e + O -> e + O,electron,elastic,1,cross_section,0.0,,,,,,,unknown,0.0,literature_supported,
e_O_excitation_O_1D,e + O -> e + O_1D,electron,excitation,1,cross_section,1.967,1.967,,,,,,unknown,1.9669999793606499,curated,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014)."
e_O_ionization,e + O -> 2 e + O+,electron,ionization,1,cross_section,13.618055,13.618055,,,,,,unknown,,curated,
e_O_excitation_O_1S,e + O -> e + O_1S,electron,excitation,1,cross_section,4.189746,4.189746,,,,,,unknown,4.1897459560378065,literature_supported,"NIST Atomic Spectra Database, energy levels (energy1.pl)"
e_O2_a1Delta_elastic,e + O2_a1Delta -> e + O2_a1Delta,electron,elastic,1,cross_section,0.0,,,,,,,unknown,0.0,literature_supported,
