id,formula,charge,state_kind,state_label,state_energy_eV,depth,n_Ar,n_O,mass_amu,polarizability_A3,dipole_moment_D,collision_radius_A,well_depth_K,enthalpy_formation_eV,entropy_J_mol_K,ionization_energy_eV,electron_affinity_eV,vibrational_quantum_eV,has_thermo,status,missing
Ar,Ar,0,ground,X,0.0,0,1,0,39.948,1.6411,0.0,1.7037,123.55,0.0,154.8,15.759612,-11.5,,yes,curated,vibrational_quantum_eV
Ar+,Ar,1,ground,X,0.0,1,1,0,39.94745,,0.0,,,15.75961,,27.62966,,,yes,curated,polarizability_A3 collision_radius_A well_depth_K entropy_J_mol_K electron_affinity_eV vibrational_quantum_eV
Ar_4s,Ar,0,excited,3p5 4s manifold,11.6,1,1,0,39.948,1.6423,0.0,1.7037,123.55,11.6,,4.16,,,yes,literature_supported,entropy_J_mol_K electron_affinity_eV vibrational_quantum_eV
O,O,0,ground,3P2,0.0,1,0,1,15.9994,0.7854,0.0,,,2.583077,161.1,13.618055,1.461113,,yes,curated,collision_radius_A well_depth_K vibrational_quantum_eV
O+,O,1,ground,4S,0.0,1,0,1,15.9988514,,0.0,,,16.200655,,35.12112,,,no,curated,polarizability_A3 collision_radius_A well_depth_K entropy_J_mol_K electron_affinity_eV vibrational_quantum_eV
O2,O2,0,ground,X3Sigma_g-,0.0,0,0,2,31.9988,1.562,0.0,1.73,119.66,0.0,205.2,12.0697,0.448,0.1853,yes,curated,
O2+,O2,1,ground,X2Pi_g,0.0,1,0,2,31.9982514,,0.0,,,12.0697,,,,,no,curated,polarizability_A3 collision_radius_A well_depth_K entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
O2_a1Delta,O2,0,excited,a1Delta_g,0.977,1,0,2,31.9988,1.562,0.0,1.6486,119.66,0.977,,,,,yes,curated,entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
O2_b1Sigma,O2,0,excited,b1Sigma_g+,1.627,1,0,2,31.9988,1.562,0.0,1.6486,119.66,1.627,,,,,yes,curated,entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
O2_v,O2,0,excited,vibrational,0.1853,1,0,2,31.9988,1.562,0.0,1.73,119.66,0.1853,,,,,no,candidate,entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
O_1D,O,0,excited,1D2,1.967,1,0,1,15.9994,0.7854,0.0,,,4.5496,,,,,yes,curated,collision_radius_A well_depth_K entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
O_1S,O,0,excited,1S,4.189746,1,0,1,15.9994,0.7854,0.0,,,6.772823,,,,,yes,literature_supported,collision_radius_A well_depth_K entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
e,,-1,ground,,,0,0,0,0.00054858,,,,,,,,,,no,curated,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
