id,property,value,unit,source
Ar,collision_radius_A,1.7037,A,"chemicals package bundled molecular property tables, CAS 7440-37-1"
Ar,dipole_moment_D,0.0,D,atomic symmetry
Ar,electron_affinity_eV,-11.5,eV,"mendeleev package, bundled periodic table"
Ar,enthalpy_formation_eV,0.0,eV,"chemicals package bundled thermodynamic tables, CAS 7440-37-1, formula verified against the registry"
Ar,entropy_J_mol_K,154.8,J/mol/K,"chemicals package bundled thermodynamic tables, CAS 7440-37-1, formula verified against the registry"
Ar,ionization_energy_eV,15.759612,eV,"mendeleev package, bundled periodic table"
Ar,mass_amu,39.948,amu,NIST Atomic Spectra Database / Basic Atomic Spectroscopic Data
Ar,polarizability_A3,1.6411,A3,Experimental/static polarizability literature seed; CCCBDB/NIST polarizability tables for review
Ar,well_depth_K,123.55,K,"chemicals package bundled molecular property tables, CAS 7440-37-1"
Ar,nasa7,,,"cantera bundled thermodynamic data, listed as AR in air.yaml"
Ar+,dipole_moment_D,0.0,D,atomic-ion symmetry
Ar+,enthalpy_formation_eV,15.75961,eV,"derived from Ar IE, NIST Atomic Spectra Database / Basic Atomic Spectroscopic Data"
Ar+,ionization_energy_eV,27.62966,eV,NIST Atomic Spectra Database / Basic Atomic Spectroscopic Data
Ar+,mass_amu,39.94745,amu,Ar atomic mass minus electron mass
Ar+,nasa7,,,"cantera bundled thermodynamic data, listed as Ar+ in nasa_gas.yaml"
Ar_4s,collision_radius_A,1.7037,A,"unchanged from Ar on excitation; chemicals package bundled molecular property tables, CAS 7440-37-1"
Ar_4s,dipole_moment_D,0.0,D,atomic species
Ar_4s,enthalpy_formation_eV,11.6,eV,Ar enthalpy plus the 11.6 eV level energy
Ar_4s,ionization_energy_eV,4.16,eV,15.7596 eV Ar ionization limit minus the 11.6 eV manifold energy
Ar_4s,mass_amu,39.948,amu,NIST Chemistry WebBook SRD 69
Ar_4s,polarizability_A3,1.6423,A3,"unchanged from Ar on excitation; mendeleev package, bundled periodic table, dipole polarizability in atomic units"
Ar_4s,well_depth_K,123.55,K,"unchanged from Ar on excitation; chemicals package bundled molecular property tables, CAS 7440-37-1"
Ar_4s,nasa7,,,Ar polynomial with the 11.6 eV level energy added to the enthalpy constant
O,dipole_moment_D,0.0,D,atomic symmetry
O,electron_affinity_eV,1.461113,eV,"mendeleev package, bundled periodic table"
O,enthalpy_formation_eV,2.583077,eV,"chemicals package bundled thermodynamic tables, CAS 17778-80-2, formula verified against the registry"
O,entropy_J_mol_K,161.1,J/mol/K,"chemicals package bundled thermodynamic tables, CAS 17778-80-2, formula verified against the registry"
O,ionization_energy_eV,13.618055,eV,"mendeleev package, bundled periodic table"
O,mass_amu,15.9994,amu,NIST Atomic Data for Oxygen
O,polarizability_A3,0.7854,A3,"mendeleev package, bundled periodic table, dipole polarizability in atomic units"
O,nasa7,,,"cantera bundled thermodynamic data, listed as O in air.yaml"
O+,dipole_moment_D,0.0,D,atomic-ion symmetry
O+,enthalpy_formation_eV,16.200655,eV,derived from NIST O atom enthalpy and ionization energy
O+,ionization_energy_eV,35.12112,eV,"NIST Atomic Spectra Database, O+ ionization energy"
O+,mass_amu,15.9988514,amu,O atomic mass minus electron mass
O2,collision_radius_A,1.73,A,half of the 3.46 A literature kinetic diameter tabulated in NIST publication 928548
O2,dipole_moment_D,0.0,D,homonuclear diatomic symmetry
O2,electron_affinity_eV,0.448,eV,NIST Chemistry WebBook SRD 69
O2,enthalpy_formation_eV,0.0,eV,"chemicals package bundled thermodynamic tables, CAS 7782-44-7, formula verified against the registry"
O2,entropy_J_mol_K,205.2,J/mol/K,"chemicals package bundled thermodynamic tables, CAS 7782-44-7, formula verified against the registry"
O2,ionization_energy_eV,12.0697,eV,NIST Chemistry WebBook SRD 69 evaluated ionization energy
O2,mass_amu,31.9988,amu,NIST Chemistry WebBook SRD 69
O2,polarizability_A3,1.562,A3,NIST CCCBDB experimental polarizability list
O2,vibrational_quantum_eV,0.1853,eV,"chemicals TRC gas heat capacity, effective Einstein mode fitted 300-1500 K"
O2,well_depth_K,119.66,K,"chemicals package bundled molecular property tables, CAS 7782-44-7"
O2,nasa7,,,"cantera bundled thermodynamic data, listed as O2 in air.yaml"
O2+,dipole_moment_D,0.0,D,homonuclear molecular-ion symmetry
O2+,enthalpy_formation_eV,12.0697,eV,derived from O2 reference enthalpy and NIST evaluated ionization energy
O2+,mass_amu,31.9982514,amu,O2 molecular mass minus electron mass
O2_a1Delta,collision_radius_A,1.6486,A,"unchanged from O2 on excitation; chemicals package bundled molecular property tables, CAS 7782-44-7"
O2_a1Delta,dipole_moment_D,0.0,D,homonuclear diatomic symmetry
O2_a1Delta,enthalpy_formation_eV,0.977,eV,evaluated O2 a1Delta_g excitation energy
O2_a1Delta,mass_amu,31.9988,amu,NIST Chemistry WebBook SRD 69
O2_a1Delta,polarizability_A3,1.562,A3,unchanged from O2 on excitation; NIST CCCBDB experimental polarizability list
O2_a1Delta,well_depth_K,119.66,K,"unchanged from O2 on excitation; chemicals package bundled molecular property tables, CAS 7782-44-7"
O2_a1Delta,nasa7,,,O2 polynomial with the 0.977 eV level energy added to the enthalpy constant
O2_b1Sigma,collision_radius_A,1.6486,A,"unchanged from O2 on excitation; chemicals package bundled molecular property tables, CAS 7782-44-7"
O2_b1Sigma,dipole_moment_D,0.0,D,homonuclear diatomic symmetry
O2_b1Sigma,enthalpy_formation_eV,1.627,eV,evaluated O2 b1Sigma_g+ excitation energy
O2_b1Sigma,mass_amu,31.9988,amu,NIST Chemistry WebBook SRD 69
O2_b1Sigma,polarizability_A3,1.562,A3,unchanged from O2 on excitation; NIST CCCBDB experimental polarizability list
O2_b1Sigma,well_depth_K,119.66,K,"unchanged from O2 on excitation; chemicals package bundled molecular property tables, CAS 7782-44-7"
O2_b1Sigma,nasa7,,,O2 polynomial with the 1.627 eV level energy added to the enthalpy constant
O2_v,collision_radius_A,1.73,A,unchanged from O2 on excitation; half of the 3.46 A literature kinetic diameter tabulated in NIST publication 928548
O2_v,dipole_moment_D,0.0,D,unchanged from O2 on excitation; homonuclear diatomic symmetry
O2_v,enthalpy_formation_eV,0.1853,eV,O2 enthalpy plus the 0.1853 eV level energy
O2_v,mass_amu,31.9988,amu,unchanged from O2 on excitation; NIST Chemistry WebBook SRD 69
O2_v,polarizability_A3,1.562,A3,unchanged from O2 on excitation; NIST CCCBDB experimental polarizability list
O2_v,well_depth_K,119.66,K,"unchanged from O2 on excitation; chemicals package bundled molecular property tables, CAS 7782-44-7"
O_1D,dipole_moment_D,0.0,D,atomic symmetry
O_1D,enthalpy_formation_eV,4.5496,eV,NIST ground-state enthalpy plus NIST ASD O(1D2) excitation energy
O_1D,mass_amu,15.9994,amu,NIST Atomic Data for Oxygen
O_1D,polarizability_A3,0.7854,A3,"unchanged from O on excitation; mendeleev package, bundled periodic table, dipole polarizability in atomic units"
O_1D,nasa7,,,O polynomial with the 1.967 eV level energy added to the enthalpy constant
O_1S,dipole_moment_D,0.0,D,atomic symmetry
O_1S,enthalpy_formation_eV,6.772823,eV,O enthalpy plus the level energy
O_1S,mass_amu,15.9994,amu,same nucleus as O
O_1S,polarizability_A3,0.7854,A3,"unchanged from O on excitation; mendeleev package, bundled periodic table, dipole polarizability in atomic units"
O_1S,nasa7,,,O polynomial with the 4.19 eV level energy added to the enthalpy constant
e,mass_amu,0.00054858,amu,physical constant
