bodies,reactants,products,id,family,type,depth,status,verdict
1,SOF4,SOF3 + F,SOF4_dissociation_SOF3_F,unimolecular,dissociation,2,literature_supported,doi:10.1116/1.4853675
2,F2 + O,FO + F,F2_O_to_FO_F,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1007/s11090-013-9513-1
2,F2 + O_1D,FO + F,F2_O1D_to_FO_F,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1007/s11090-013-9513-1
2,S + F2,SF + F,S_F2_to_SF_F,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1116/1.4853675
2,SF + F2,SF2 + F,SF_F2_to_SF2_F,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1116/1.4853675
2,SF2 + F2,SF3 + F,SF2_F2_to_SF3_F,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1116/1.4853675
2,SF3 + F2,SF4 + F,SF3_F2_to_SF4_F,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1116/1.4853675
2,SF4 + F2,SF5 + F,SF4_F2_to_SF5_F,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1116/1.4853675
2,SF5 + F2,SF6 + F,SF5_F2_to_SF6_F,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1116/1.4853675
2,FO + FO,F + O2,FO_FO_to_2F_O2,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1007/s11090-013-9513-1
2,FO + FO,F2 + O2,FO_FO_to_F2_O2,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1007/s11090-013-9513-1
2,FO + O,F + O2,FO_O_to_F_O2,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1007/s11090-013-9513-1
2,FO + O_1D,F + O2,FO_O1D_to_F_O2,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1007/s11090-013-9513-1
2,SF + O,SO + F,SF_O_R121,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1116/1.4853675
2,SF + O,SOF,SF_O_R136,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1116/1.4853675
2,SF2 + O,SOF + F,SF2_O_R120,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1116/1.4853675
2,SF2 + O,SOF2,SF2_O_R135,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1116/1.4853675
2,SF3 + O,SOF2 + F,SF3_O_R119,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1116/1.4853675
