id,equation,family,type,depth,status,verdict,decided
e_O2_dissociation_O_O,e + O2 -> e + 2 O,electron,dissociation,0,literature_supported,doi:10.1007/s11090-013-9513-1,yes
e_O2_dissociation_O_O1D,e + O2 -> e + O + O_1D,electron,dissociation,0,literature_supported,doi:10.1007/s11090-013-9513-1,yes
e_SF6_dissociation_SF2_F2_2F,e + SF6 -> e + SF2 + F2 + 2 F,electron,dissociation,0,literature_supported,doi:10.1116/1.4853675,yes
e_SF6_dissociation_SF_F2_3F,e + SF6 -> e + SF + F2 + 3 F,electron,dissociation,0,literature_supported,doi:10.1116/1.4853675,yes
e_SF6_dissociative_ionization_SF4p_2F,e + SF6 -> 2 e + SF4+ + 2 F,electron,dissociative_ionization,0,literature_supported,doi:10.1116/1.4853675,yes
e_SF6_dissociative_ionization_SF3p_3F,e + SF6 -> 2 e + SF3+ + 3 F,electron,dissociative_ionization,0,literature_supported,doi:10.1116/1.4853675,yes
e_SF6_dissociative_ionization_SF2p_F2_2F,e + SF6 -> 2 e + SF2+ + F2 + 2 F,electron,dissociative_ionization,0,literature_supported,doi:10.1116/1.4853675,yes
e_SF6_dissociative_ionization_SFp_F2_3F,e + SF6 -> 2 e + SF+ + F2 + 3 F,electron,dissociative_ionization,0,literature_supported,doi:10.1116/1.4853675,yes
e_SF6_dissociative_ionization_Sp_F2_4F,e + SF6 -> 2 e + S+ + F2 + 4 F,electron,dissociative_ionization,0,literature_supported,doi:10.1116/1.4853675,yes
e_SF6_dissociative_ionization_Fp_SF4_F,e + SF6 -> 2 e + F+ + SF4 + F,electron,dissociative_ionization,0,literature_supported,doi:10.1116/1.4853675,yes
e_F2_dissociation_2F,e + F2 -> e + 2 F,electron,dissociation,1,literature_supported,doi:10.1007/s11090-013-9513-1,yes
e_F2_ionization_F2p,e + F2 -> 2 e + F2+,electron,ionization,1,literature_supported,doi:10.1116/1.4853675,yes
e_O_excitation_O_1D,e + O -> e + O_1D,electron,excitation,1,curated,doi:10.1007/s11090-013-9513-1,yes
e_O_excitation_O_1S,e + O -> e + O_1S,electron,excitation,1,literature_supported,nist_asd,yes
e_O_1S_elastic,e + O_1S -> e + O_1S,electron,elastic,1,literature_supported,nist_asd,yes
e_O_1S_superelastic,e + O_1S -> e + O,electron,deexcitation,1,literature_supported,nist_asd,yes
e_SF_dissociation_S_F,e + SF -> e + S + F,electron,dissociation,1,literature_supported,doi:10.1116/1.4853675,yes
e_SF_ionization_SFp,e + SF -> 2 e + SF+,electron,ionization,1,literature_supported,doi:10.1116/1.4853675,yes
e_SF2_dissociation_SF_F,e + SF2 -> e + SF + F,electron,dissociation,1,literature_supported,doi:10.1116/1.4853675,yes
