id,charge,depth,status,reactions,ready,missing
Ar,0,0,curated,126,yes,
Ar+,1,1,curated,94,no,polarizability_A3
Ar_4s,0,1,literature_supported,72,yes,
F,0,1,curated,494,yes,
F*,0,2,candidate,41,yes,
F+,1,1,curated,109,no,polarizability_A3
F2,0,1,literature_supported,376,yes,
F2*,0,2,candidate,56,yes,
F2+,1,2,literature_supported,120,no,polarizability_A3
F2_v,0,2,candidate,113,yes,
FO,0,2,literature_supported,124,no,polarizability_A3
FO*,0,3,candidate,45,no,polarizability_A3
FO_v,0,3,candidate,101,no,polarizability_A3
O,0,1,curated,181,yes,
O+,1,1,curated,113,no,polarizability_A3
O2,0,0,curated,203,yes,
O2+,1,1,curated,106,no,polarizability_A3
O2_a1Delta,0,1,curated,59,yes,
O2_b1Sigma,0,1,curated,62,yes,
O2_v,0,1,candidate,112,yes,
OF+,1,3,candidate,6,no,polarizability_A3
O_1D,0,1,curated,75,yes,
O_1S,0,1,literature_supported,64,yes,
S,0,2,literature_supported,125,yes,
S+,1,1,literature_supported,122,no,polarizability_A3
SF,0,1,literature_supported,158,no,polarizability_A3
SF*,0,2,candidate,54,no,polarizability_A3
SF+,1,1,literature_supported,78,no,polarizability_A3
SF2,0,1,literature_supported,190,no,polarizability_A3
SF2*,0,2,candidate,60,no,polarizability_A3
SF2+,1,1,literature_supported,122,no,polarizability_A3
SF2_v,0,2,candidate,116,no,polarizability_A3
SF3,0,1,literature_supported,149,no,polarizability_A3
SF3*,0,2,candidate,60,no,polarizability_A3
SF3+,1,1,literature_supported,76,no,polarizability_A3
SF3_v,0,2,candidate,116,no,polarizability_A3
SF4,0,1,curated,196,no,polarizability_A3
SF4*,0,2,candidate,59,no,polarizability_A3
SF4+,1,1,literature_supported,183,no,polarizability_A3
SF4_v,0,2,candidate,115,no,polarizability_A3
SF5,0,1,curated,184,no,polarizability_A3
SF5*,0,2,candidate,62,no,polarizability_A3
SF5+,1,1,literature_supported,165,no,polarizability_A3
SF5_v,0,2,candidate,118,no,polarizability_A3
SF6,0,0,curated,196,yes,
SF6*,0,1,candidate,58,yes,
SF6+,1,1,candidate,248,no,polarizability_A3
SF6_v,0,1,candidate,114,yes,
SF_v,0,2,candidate,110,no,polarizability_A3
SO,0,2,literature_supported,132,no,polarizability_A3
SO*,0,3,candidate,46,no,polarizability_A3
SO+,1,3,candidate,9,no,polarizability_A3
SO2,0,3,literature_supported,131,yes,
SO2*,0,4,candidate,50,yes,
SO2+,1,4,candidate,3,no,polarizability_A3
SO2F2,0,3,literature_supported,134,no,polarizability_A3
SO2F2*,0,4,candidate,54,no,polarizability_A3
SO2F2+,1,4,candidate,3,no,polarizability_A3
SO2F2_v,0,4,candidate,110,no,polarizability_A3
SO2_v,0,4,candidate,106,yes,
SOF,0,2,literature_supported,119,no,polarizability_A3
SOF*,0,3,candidate,41,no,polarizability_A3
SOF+,1,3,candidate,9,no,polarizability_A3
SOF2,0,2,literature_supported,132,yes,
SOF2*,0,3,candidate,43,yes,
SOF2+,1,3,candidate,12,no,polarizability_A3
SOF2_v,0,3,candidate,99,yes,
SOF3,0,2,literature_supported,117,no,polarizability_A3
SOF3*,0,3,candidate,43,no,polarizability_A3
SOF3+,1,3,candidate,6,no,polarizability_A3
SOF3_v,0,3,candidate,99,no,polarizability_A3
SOF4,0,2,literature_supported,114,no,polarizability_A3
SOF4*,0,3,candidate,43,no,polarizability_A3
SOF4+,1,3,candidate,3,no,polarizability_A3
SOF4_v,0,3,candidate,99,no,polarizability_A3
SOF_v,0,3,candidate,97,no,polarizability_A3
SO_v,0,3,candidate,103,no,polarizability_A3
S_1D,0,2,literature_supported,57,yes,
S_1S,0,2,literature_supported,62,yes,
