id,formula,charge,state_kind,depth,status,reactions,ready,missing,n_Ar,n_F,n_O,n_S,mass_amu,polarizability_A3,dipole_moment_D,collision_radius_A,well_depth_K,enthalpy_formation_eV,entropy_J_mol_K,ionization_energy_eV,electron_affinity_eV,vibrational_quantum_eV
Ar,Ar,0,ground,0,curated,126,yes,,1,0,0,0,39.948,1.6411,0.0,1.7037,123.55,0.0,154.8,15.759612,-11.5,
Ar_4s,Ar,0,excited,1,literature_supported,72,yes,,1,0,0,0,39.948,1.6423,0.0,1.7037,123.55,11.6,,4.16,,
F,F,0,ground,1,curated,494,yes,,0,1,0,0,18.9984032,0.557,0.0,,,0.822654,158.8,17.42282,3.40119,
F*,F,0,excited,2,candidate,41,yes,,0,1,0,0,18.9984032,0.557,0.0,,,,,,,
F2,F2,0,ground,1,literature_supported,376,yes,,0,2,0,0,37.996,1.16,0.0,1.6785,112.6,0.0,202.8,,,0.0991
F2*,F2,0,excited,2,candidate,56,yes,,0,2,0,0,37.996,1.16,0.0,1.6785,112.6,,,,,
F2_v,F2,0,excited,2,candidate,113,yes,,0,2,0,0,37.996,1.16,0.0,1.6785,112.6,0.0991,,,,
O,O,0,ground,1,curated,181,yes,,0,0,1,0,15.9994,0.7854,0.0,,,2.583077,161.1,13.618055,1.461113,
O2,O2,0,ground,0,curated,203,yes,,0,0,2,0,31.9988,1.562,0.0,1.73,119.66,0.0,205.2,12.0697,0.448,0.1853
O2_a1Delta,O2,0,excited,1,curated,59,yes,,0,0,2,0,31.9988,1.562,0.0,1.6486,119.66,0.977,,,,
O2_b1Sigma,O2,0,excited,1,curated,62,yes,,0,0,2,0,31.9988,1.562,0.0,1.6486,119.66,1.627,,,,
O2_v,O2,0,excited,1,candidate,112,yes,,0,0,2,0,31.9988,1.562,0.0,1.73,119.66,0.1853,,,,
O_1D,O,0,excited,1,curated,75,yes,,0,0,1,0,15.9994,0.7854,0.0,,,4.5496,,,,
O_1S,O,0,excited,1,literature_supported,64,yes,,0,0,1,0,15.9994,0.7854,0.0,,,6.772823,,,,
S,S,0,ground,2,literature_supported,125,yes,,0,0,0,1,32.06,2.8748,0.0,,,2.872976,167.8,10.36001,2.077104,
SF6,F6S,0,ground,0,curated,196,yes,,0,6,0,1,146.055,4.49,0.0,2.75,271.68,-12.649591,291.5,15.32,1.03,
SF6*,F6S,0,excited,1,candidate,58,yes,,0,6,0,1,146.055,4.49,0.0,2.75,271.68,,,,,
SF6_v,F6S,0,excited,1,candidate,114,yes,,0,6,0,1,146.055,4.49,0.0,2.75,271.68,,,,,
SO2,O2S,0,ground,3,literature_supported,131,yes,,0,0,2,1,64.058,3.882,1.63,1.9903,333.4,-3.076115,248.2,,,0.1129
SO2*,O2S,0,excited,4,candidate,50,yes,,0,0,2,1,64.058,3.882,1.63,1.9903,333.4,,,,,
SO2_v,O2S,0,excited,4,candidate,106,yes,,0,0,2,1,64.058,3.882,1.63,1.9903,333.4,-2.963215,,,,
SOF2,F2OS,0,ground,2,literature_supported,132,yes,,0,2,1,1,86.055,3.927,,,,-5.637334,278.7,,,
SOF2*,F2OS,0,excited,3,candidate,43,yes,,0,2,1,1,86.055,3.927,,,,,,,,
SOF2_v,F2OS,0,excited,3,candidate,99,yes,,0,2,1,1,86.055,3.927,,,,,,,,
S_1D,S,0,excited,2,literature_supported,57,yes,,0,0,0,1,32.06,2.8748,0.0,,,4.018417,,,,
S_1S,S,0,excited,2,literature_supported,62,yes,,0,0,0,1,32.06,2.8748,0.0,,,5.62294,,,,
