bodies,reactants,products,id,family,type,depth,status,verdict
2,F+ + Ar,F + Ar+,cand_Fp_Ar_char_F_Arp,ion_neutral,charge_transfer,1,candidate,"conserved, species proposed"
2,F2+ + Ar,F2 + Ar+,cand_F2p_Ar_char_F2_Arp,ion_neutral,charge_transfer,2,candidate,"conserved, species proposed"
2,F2+ + Ar,F + F + Ar+,cand_F2p_Ar_diss_F_F_Arp,ion_neutral,dissociative_charge_transfer,2,candidate,"conserved, species proposed"
2,SF6+ + Ar,SF6 + Ar+,cand_SF6p_Ar_char_SF6_Arp,ion_neutral,charge_transfer,1,candidate,"conserved, species proposed"
2,SF6+ + Ar,SF4+ + F2 + Ar,cand_SF6p_Ar_diss_SF4p_F2_Ar,ion_neutral,dissociative_charge_transfer,1,candidate,"conserved, species proposed"
2,SF6+ + Ar,SF5+ + F + Ar,cand_SF6p_Ar_diss_SF5p_F_Ar,ion_neutral,dissociative_charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + F,Ar + F+,cand_Arp_F_char_Ar_Fp,ion_neutral,charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + F*,Ar + F+,cand_Arp_F*_char_Ar_Fp,ion_neutral,charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + F2,Ar + F2+,cand_Arp_F2_char_Ar_F2p,ion_neutral,charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + F2,Ar+ + F + F,cand_Arp_F2_reac_Arp_F_F,ion_neutral,reactive_scattering,1,candidate,"conserved, species proposed"
2,Ar+ + F2*,Ar + F2+,cand_Arp_F2*_char_Ar_F2p,ion_neutral,charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + F2*,Ar+ + F + F,cand_Arp_F2*_reac_Arp_F_F,ion_neutral,reactive_scattering,2,candidate,"conserved, species proposed"
2,Ar+ + F2_v,Ar + F2+,cand_Arp_F2_v_char_Ar_F2p,ion_neutral,charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + F2_v,Ar+ + F + F,cand_Arp_F2_v_reac_Arp_F_F,ion_neutral,reactive_scattering,2,candidate,"conserved, species proposed"
2,Ar+ + FO,Ar + F + O+,cand_Arp_FO_diss_Ar_F_Op,ion_neutral,dissociative_charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + FO*,Ar + F + O+,cand_Arp_FO*_diss_Ar_F_Op,ion_neutral,dissociative_charge_transfer,3,candidate,"conserved, species proposed"
2,Ar+ + FO_v,Ar + F + O+,cand_Arp_FO_v_diss_Ar_F_Op,ion_neutral,dissociative_charge_transfer,3,candidate,"conserved, species proposed"
2,Ar+ + O,Ar + O+,cand_Arp_O_char_Ar_Op,ion_neutral,charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + O2,Ar + O2+,Arp_O2_charge_transfer,ion_neutral,charge_transfer,1,literature_supported,conserved
2,Ar+ + O2_a1Delta,Ar + O2+,cand_Arp_O2_a1Delta_char_Ar_O2p,ion_neutral,charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + O2_b1Sigma,Ar + O2+,cand_Arp_O2_b1Sigma_char_Ar_O2p,ion_neutral,charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + O2_b1Sigma,Ar + O+ + O,cand_Arp_O2_b1Sigma_diss_Ar_Op_O,ion_neutral,dissociative_charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + O2_v,Ar + O2+,cand_Arp_O2_v_char_Ar_O2p,ion_neutral,charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + O_1D,Ar + O+,cand_Arp_O_1D_char_Ar_Op,ion_neutral,charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + O_1S,Ar + O+,cand_Arp_O_1S_char_Ar_Op,ion_neutral,charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + S,Ar + S+,cand_Arp_S_char_Ar_Sp,ion_neutral,charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + SF,Ar + SF+,cand_Arp_SF_char_Ar_SFp,ion_neutral,charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + SF*,Ar + SF+,cand_Arp_SF*_char_Ar_SFp,ion_neutral,charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + SF2,Ar + SF2+,cand_Arp_SF2_char_Ar_SF2p,ion_neutral,charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + SF2,Ar + S+ + F2,cand_Arp_SF2_diss_Ar_Sp_F2,ion_neutral,dissociative_charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + SF2*,Ar + SF2+,cand_Arp_SF2*_char_Ar_SF2p,ion_neutral,charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + SF2*,Ar + S+ + F2,cand_Arp_SF2*_diss_Ar_Sp_F2,ion_neutral,dissociative_charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + SF2_v,Ar + SF2+,cand_Arp_SF2_v_char_Ar_SF2p,ion_neutral,charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + SF2_v,Ar + S+ + F2,cand_Arp_SF2_v_diss_Ar_Sp_F2,ion_neutral,dissociative_charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + SF3,Ar + SF3+,cand_Arp_SF3_char_Ar_SF3p,ion_neutral,charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + SF3*,Ar + SF3+,cand_Arp_SF3*_char_Ar_SF3p,ion_neutral,charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + SF3_v,Ar + SF3+,cand_Arp_SF3_v_char_Ar_SF3p,ion_neutral,charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + SF4,Ar + SF4+,cand_Arp_SF4_char_Ar_SF4p,ion_neutral,charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + SF4,Ar + SF2+ + F2,cand_Arp_SF4_diss_Ar_SF2p_F2,ion_neutral,dissociative_charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + SF4*,Ar + SF4+,cand_Arp_SF4*_char_Ar_SF4p,ion_neutral,charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + SF4*,Ar + SF2+ + F2,cand_Arp_SF4*_diss_Ar_SF2p_F2,ion_neutral,dissociative_charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + SF4_v,Ar + SF4+,cand_Arp_SF4_v_char_Ar_SF4p,ion_neutral,charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + SF4_v,Ar + SF2+ + F2,cand_Arp_SF4_v_diss_Ar_SF2p_F2,ion_neutral,dissociative_charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + SF5,Ar + SF5+,cand_Arp_SF5_char_Ar_SF5p,ion_neutral,charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + SF5,Ar + SF4+ + F,cand_Arp_SF5_diss_Ar_SF4p_F,ion_neutral,dissociative_charge_transfer,1,candidate,"conserved, species proposed"
2,Ar+ + SF5*,Ar + SF5+,cand_Arp_SF5*_char_Ar_SF5p,ion_neutral,charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + SF5*,Ar + SF4+ + F,cand_Arp_SF5*_diss_Ar_SF4p_F,ion_neutral,dissociative_charge_transfer,2,candidate,"conserved, species proposed"
2,Ar+ + SF5_v,Ar + SF5+,cand_Arp_SF5_v_char_Ar_SF5p,ion_neutral,charge_transfer,2,candidate,"conserved, species proposed"
