bodies,reactants,products,id,family,type,depth,status,verdict
2,Ar_4s + S,Ar + S+ + e,cand_Ar_4s_S_penning,neutral_neutral,penning_ionization,2,candidate,exothermic by 1.24 eV
2,Ar_4s + SF,Ar + SF+ + e,cand_Ar_4s_SF_penning,neutral_neutral,penning_ionization,1,candidate,exothermic by 1.30 eV
2,Ar_4s + SF2,Ar + SF2+ + e,cand_Ar_4s_SF2_penning,neutral_neutral,penning_ionization,1,candidate,exothermic by 0.80 eV
2,Ar_4s + SF3,Ar + SF3+ + e,cand_Ar_4s_SF3_penning,neutral_neutral,penning_ionization,1,candidate,exothermic by 3.42 eV
2,Ar_4s + SF5,Ar + SF5+ + e,cand_Ar_4s_SF5_penning,neutral_neutral,penning_ionization,1,candidate,exothermic by 2.00 eV
2,F2 + O,FO + F,F2_O_to_FO_F,neutral_neutral,reactive_scattering,1,literature_supported,exothermic by 0.63 eV
2,F2 + O_1D,FO + F,F2_O1D_to_FO_F,neutral_neutral,reactive_scattering,1,literature_supported,exothermic by 2.60 eV
2,SF4 + F2,SF5 + F,SF4_F2_to_SF5_F,neutral_neutral,reactive_scattering,1,literature_supported,exothermic by 0.68 eV
2,SF5 + F2,SF6 + F,SF5_F2_to_SF6_F,neutral_neutral,reactive_scattering,1,literature_supported,exothermic by 2.41 eV
2,FO + FO,F + O2,FO_FO_to_2F_O2,neutral_neutral,reactive_scattering,2,literature_supported,exothermic by 0.61 eV
2,FO + FO,F2 + O2,FO_FO_to_F2_O2,neutral_neutral,reactive_scattering,2,literature_supported,exothermic by 2.26 eV
2,FO + O,F + O2,FO_O_to_F_O2,neutral_neutral,reactive_scattering,2,literature_supported,exothermic by 2.89 eV
2,FO + O_1D,F + O2,FO_O1D_to_F_O2,neutral_neutral,reactive_scattering,2,literature_supported,exothermic by 4.86 eV
2,SF2 + O,SOF2,SF2_O_R135,neutral_neutral,reactive_scattering,1,literature_supported,exothermic by 5.15 eV
2,SO + O,SO2,SO_O_R130,neutral_neutral,reactive_scattering,2,literature_supported,exothermic by 5.72 eV
2,SO2F2 + O,SOF2 + O2,SO2F2_O_R137,neutral_neutral,reactive_scattering,3,literature_supported,exothermic by 0.36 eV
2,SOF2 + O,SO2F2,SOF2_O_R131,neutral_neutral,reactive_scattering,2,literature_supported,exothermic by 4.81 eV
2,O2 + O2_a1Delta,O2,O2a_O2_self_quenching,neutral_neutral,reactive_scattering,1,literature_supported,exothermic by 0.98 eV
2,O_1D + O2,O + O2_a1Delta,O1D_O2_quenching_O2_a1Delta,neutral_neutral,reactive_scattering,1,literature_supported,exothermic by 0.99 eV
2,O_1D + O2,O + O2_b1Sigma,O1D_O2_quenching_O2_b1Sigma,neutral_neutral,reactive_scattering,1,literature_supported,exothermic by 0.34 eV
2,SF2 + O_1D,SOF2,SF2_O1D_R135,neutral_neutral,reactive_scattering,1,literature_supported,exothermic by 7.11 eV
2,SO + O_1D,SO2,SO_O1D_R130,neutral_neutral,reactive_scattering,2,literature_supported,exothermic by 7.69 eV
2,SO2F2 + O_1D,SOF2 + O2,SO2F2_O1D_R137,neutral_neutral,reactive_scattering,3,literature_supported,exothermic by 2.33 eV
2,SOF2 + O_1D,SO2F2,SOF2_O1D_R131,neutral_neutral,reactive_scattering,2,literature_supported,exothermic by 6.77 eV
2,SF5 + SF5,SF4 + SF6,SF5_SF5_to_SF4_SF6,neutral_neutral,reactive_scattering,1,literature_supported,exothermic by 1.73 eV
