id,formula,charge,state_kind,depth,status,reactions,ready,missing,n_Ar,n_F,n_O,n_S,mass_amu,polarizability_A3,dipole_moment_D,collision_radius_A,well_depth_K,enthalpy_formation_eV,entropy_J_mol_K,ionization_energy_eV,electron_affinity_eV,vibrational_quantum_eV
Ar,Ar,0,ground,0,curated,126,yes,,1,0,0,0,39.948,1.6411,0.0,1.7037,123.55,0.0,154.8,15.759612,-11.5,
Ar+,Ar,1,ground,1,curated,94,yes,,1,0,0,0,39.94745,,0.0,,,15.75961,,27.62966,,
Ar_4s,Ar,0,excited,1,literature_supported,72,yes,,1,0,0,0,39.948,1.6423,0.0,1.7037,123.55,11.6,,4.16,,
F,F,0,ground,1,curated,494,yes,,0,1,0,0,18.9984032,0.557,0.0,,,0.822654,158.8,17.42282,3.40119,
F*,F,0,excited,2,candidate,41,no,enthalpy_formation_eV|ionization_energy_eV,0,1,0,0,18.9984032,0.557,0.0,,,,,,,
F+,F,1,ground,1,curated,109,no,ionization_energy_eV,0,1,0,0,18.9978546,,0.0,,,18.245535725314177,,,,
F2,F2,0,ground,1,literature_supported,376,no,ionization_energy_eV,0,2,0,0,37.996,1.16,0.0,1.6785,112.6,0.0,202.8,,,0.0991
F2*,F2,0,excited,2,candidate,56,no,enthalpy_formation_eV|ionization_energy_eV,0,2,0,0,37.996,1.16,0.0,1.6785,112.6,,,,,
F2+,F2,1,ground,2,literature_supported,120,no,enthalpy_formation_eV|ionization_energy_eV,0,2,0,0,37.99545142,,,,,,,,,
F2_v,F2,0,excited,2,candidate,113,no,ionization_energy_eV,0,2,0,0,37.996,1.16,0.0,1.6785,112.6,0.0991,,,,
FO,FO,0,ground,2,literature_supported,124,no,ionization_energy_eV,0,1,1,0,34.997,,,,,1.128071,,,,
FO*,FO,0,excited,3,candidate,45,no,enthalpy_formation_eV|ionization_energy_eV,0,1,1,0,34.997,,,,,,,,,
FO_v,FO,0,excited,3,candidate,101,no,enthalpy_formation_eV|ionization_energy_eV,0,1,1,0,34.997,,,,,,,,,
O,O,0,ground,1,curated,181,yes,,0,0,1,0,15.9994,0.7854,0.0,,,2.583077,161.1,13.618055,1.461113,
O+,O,1,ground,1,curated,113,yes,,0,0,1,0,15.9988514,,0.0,,,16.200655,,35.12112,,
O2,O2,0,ground,0,curated,203,yes,,0,0,2,0,31.9988,1.562,0.0,1.73,119.66,0.0,205.2,12.0697,0.448,0.1853
O2+,O2,1,ground,1,curated,106,no,ionization_energy_eV,0,0,2,0,31.9982514,,0.0,,,12.0697,,,,
O2_a1Delta,O2,0,excited,1,curated,59,no,ionization_energy_eV,0,0,2,0,31.9988,1.562,0.0,1.6486,119.66,0.977,,,,
O2_b1Sigma,O2,0,excited,1,curated,62,no,ionization_energy_eV,0,0,2,0,31.9988,1.562,0.0,1.6486,119.66,1.627,,,,
O2_v,O2,0,excited,1,candidate,112,no,ionization_energy_eV,0,0,2,0,31.9988,1.562,0.0,1.73,119.66,0.1853,,,,
OF+,FO,1,ground,3,candidate,6,no,enthalpy_formation_eV|ionization_energy_eV,0,1,1,0,34.997255,,,,,,,,,
O_1D,O,0,excited,1,curated,75,no,ionization_energy_eV,0,0,1,0,15.9994,0.7854,0.0,,,4.5496,,,,
O_1S,O,0,excited,1,literature_supported,64,no,ionization_energy_eV,0,0,1,0,15.9994,0.7854,0.0,,,6.772823,,,,
S,S,0,ground,2,literature_supported,125,yes,,0,0,0,1,32.06,2.8748,0.0,,,2.872976,167.8,10.36001,2.077104,
S+,S,1,ground,1,literature_supported,122,no,enthalpy_formation_eV|ionization_energy_eV,0,0,0,1,32.05945142,,,,,,,,,
SF,FS,0,ground,1,literature_supported,158,no,enthalpy_formation_eV|ionization_energy_eV,0,1,0,1,51.05800000000001,,,,,,,,,
SF*,FS,0,excited,2,candidate,54,no,enthalpy_formation_eV|ionization_energy_eV,0,1,0,1,51.05800000000001,,,,,,,,,
SF+,FS,1,ground,1,literature_supported,78,no,enthalpy_formation_eV|ionization_energy_eV,0,1,0,1,51.05745142000001,,,,,,,,,
SF2,F2S,0,ground,1,literature_supported,190,no,ionization_energy_eV,0,2,0,1,70.05600000000001,,1.05,,,-3.074561,257.7,,,
SF2*,F2S,0,excited,2,candidate,60,no,enthalpy_formation_eV|ionization_energy_eV,0,2,0,1,70.05600000000001,,1.05,,,,,,,
SF2+,F2S,1,ground,1,literature_supported,122,no,enthalpy_formation_eV|ionization_energy_eV,0,2,0,1,70.05545142000001,,,,,,,,,
SF2_v,F2S,0,excited,2,candidate,116,no,enthalpy_formation_eV|ionization_energy_eV,0,2,0,1,70.05600000000001,,1.05,,,,,,,
SF3,F3S,0,ground,1,literature_supported,149,no,enthalpy_formation_eV,0,3,0,1,89.061,,,,,,,8.18,3.07,
SF3*,F3S,0,excited,2,candidate,60,no,enthalpy_formation_eV|ionization_energy_eV,0,3,0,1,89.061,,,,,,,,,
SF3+,F3S,1,ground,1,literature_supported,76,no,enthalpy_formation_eV|ionization_energy_eV,0,3,0,1,89.0604514,,,,,,,,,
SF3_v,F3S,0,excited,2,candidate,116,no,enthalpy_formation_eV|ionization_energy_eV,0,3,0,1,89.061,,,,,,,,,
SF4,F4S,0,ground,1,curated,196,yes,,0,4,0,1,108.059,,0.63,,,-7.910011,299.6,12.0,1.5,0.0767
SF4*,F4S,0,excited,2,candidate,59,no,enthalpy_formation_eV|ionization_energy_eV,0,4,0,1,108.059,,0.63,,,,,,,
SF4+,F4S,1,ground,1,literature_supported,183,no,enthalpy_formation_eV|ionization_energy_eV,0,4,0,1,108.0584514,,,,,,,,,
SF4_v,F4S,0,excited,2,candidate,115,no,ionization_energy_eV,0,4,0,1,108.059,,0.63,,,-7.833311,,,,
SF5,F5S,0,ground,1,curated,184,yes,,0,5,0,1,127.057,,,,,-9.415421,304.75,9.6,3.85,
SF5*,F5S,0,excited,2,candidate,62,no,enthalpy_formation_eV|ionization_energy_eV,0,5,0,1,127.057,,,,,,,,,
