id,equation,family,type,depth,consume,threshold_eV,electron_energy_cost_eV,rate_value,rate_unit,rate_basis,reverse_rate,frequency_upper_bound_s-1,relevance,delta_g_eV,status,source
e_Ar_elastic,e + Ar -> e + Ar,electron,elastic,0,cross_section,0.0,,,,,,,unknown,0.0,curated,
e_Ar_excitation_4s_lumped,e + Ar -> e + Ar_4s,electron,excitation,0,cross_section,11.6,11.6,,,,,,unknown,11.599999878283448,curated,
e_Ar_ionization,e + Ar -> 2 e + Ar+,electron,ionization,0,cross_section,15.75961,15.75961,,,,,,unknown,15.775407831330298,curated,
e_O2_elastic,e + O2 -> e + O2,electron,elastic,0,cross_section,0.0,,,,,,,unknown,0.0,curated,
e_O2_excitation_O2_a1Delta,e + O2 -> e + O2_a1Delta,electron,excitation,0,cross_section,0.977,0.977,,,,,,unknown,0.9769999897485282,curated,
e_O2_excitation_O2_b1Sigma,e + O2 -> e + O2_b1Sigma,electron,excitation,0,cross_section,1.627,1.627,,,,,,unknown,1.6269999829282042,curated,
e_O2_ionization,e + O2 -> 2 e + O2+,electron,ionization,0,cross_section,12.0697,12.0697,,,,,,unknown,,curated,
e_O2_dissociation_O_O,e + O2 -> e + 2 O,electron,dissociation,0,cross_section,5.12,5.12,,,,,,unknown,4.677816967714865,literature_supported,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014)."
e_O2_dissociation_O_O1D,e + O2 -> e + O + O_1D,electron,dissociation,0,cross_section,8.57,8.57,,,,,,unknown,6.6448169470755145,literature_supported,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014)."
e_SF6_elastic,e + SF6 -> e + SF6,electron,elastic,0,cross_section,0.0,,,,,,,unknown,0.0,curated,
e_SF6_dissociation_SF5_F,e + SF6 -> e + SF5 + F,electron,dissociation,0,cross_section,9.6,9.6,,,,,,unknown,3.3370901953466827,literature_supported,
e_SF6_dissociation_SF4_2F,e + SF6 -> e + SF4 + 2 F,electron,dissociation,0,cross_section,12.1,12.1,,,,,,unknown,5.022796508084812,literature_supported,
e_SF6_dissociation_SF3_3F,e + SF6 -> e + SF3 + 3 F,electron,dissociation,0,cross_section,15.9,15.9,,,,,,unknown,7.93378924469273,literature_supported,
e_SF6_dissociation_SF2_F2_2F,e + SF6 -> e + SF2 + F2 + 2 F,electron,dissociation,0,cross_section,18.6,18.6,,,,,,unknown,9.191654091223244,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
e_SF6_dissociation_SF_F2_3F,e + SF6 -> e + SF + F2 + 3 F,electron,dissociation,0,cross_section,22.7,22.7,,,,,,unknown,12.693319179689546,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
e_SF6_dissociative_ionization_SF5p_F,e + SF6 -> 2 e + SF5+ + F,electron,dissociative_ionization,0,cross_section,16.0,16.0,,,,,,unknown,14.569361976279586,literature_supported,
e_SF6_dissociative_ionization_SF4p_2F,e + SF6 -> 2 e + SF4+ + 2 F,electron,dissociative_ionization,0,cross_section,20.0,20.0,,,,,,unknown,17.194366361755755,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
e_SF6_dissociative_ionization_SF3p_3F,e + SF6 -> 2 e + SF3+ + 3 F,electron,dissociative_ionization,0,cross_section,20.5,20.5,,,,,,unknown,17.29914567084043,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
