id,t_min,t_mid,t_max,a1_low,a2_low,a3_low,a4_low,a5_low,a6_low,a7_low,a1_high,a2_high,a3_high,a4_high,a5_high,a6_high,a7_high,source
Ar,300.0,1000.0,5000.0,2.5,0.0,0.0,0.0,0.0,-745.375,4.366,2.5,0.0,0.0,0.0,0.0,-745.375,4.366,"cantera bundled thermodynamic data, listed as AR in air.yaml"
Ar+,298.15,1000.0,6000.0,2.59316097,-0.00132892944,5.26503944e-06,-5.97956691e-09,2.18967862e-12,182878.368,5.44980575,2.86999547,-0.000142547242,9.36688776e-09,2.92580859e-12,-3.58247941e-16,182702.617,3.5322998,"cantera bundled thermodynamic data, listed as Ar+ in nasa_gas.yaml"
Ar_4s,300.0,1000.0,5000.0,2.5,0.0,0.0,0.0,0.0,133867.0338,4.366,2.5,0.0,0.0,0.0,0.0,133867.0338,4.366,Ar polynomial with the 11.6 eV level energy added to the enthalpy constant
F,300.0,1000.0,5000.0,2.812874,-3.3023098e-06,-1.289731e-06,1.6837365e-09,-6.4587833e-13,8660.4019,3.0984198,2.7004353,-0.00022293182,9.7941385e-08,-1.9123038e-11,1.3768154e-15,8716.3617,3.8067182,"cantera bundled thermodynamic data, listed as F in SiF4_NH3_mec.yaml"
F+,298.15,1000.0,6000.0,3.08421084,-0.000900062139,-1.64599174e-07,1.10121336e-09,-5.5627092e-13,211619.101,2.14597653,2.68834861,-0.000176182961,6.06940639e-08,-8.91530067e-12,5.47552167e-16,211744.095,4.27480838,"cantera bundled thermodynamic data, listed as F+ in nasa_gas.yaml"
F2,200.0,1000.0,6000.0,3.20832415,0.00125919179,3.89747979e-06,-7.22184984e-09,3.31837862e-12,-1034.25794,5.61903589,3.86166219,0.000788367679,-1.8198294e-07,-9.1743656e-12,2.65193472e-15,-1232.38655,2.04119855,"cantera bundled thermodynamic data, listed as F2 in nasa_gas.yaml"
FO,300.0,1000.0,5000.0,2.9680024,0.0026483393,-3.7368005e-07,-1.9006225e-09,1.0614283e-12,12087.844,8.39349747,3.9192774,0.00070442345,-2.6648204e-07,4.9617599e-11,-3.3688571e-15,11798.193,3.32875837,"cantera bundled thermodynamic data, listed as FO in nasa_gas.yaml"
O,200.0,1000.0,3500.0,3.1682671,-0.00327931884,6.64306396e-06,-6.12806624e-09,2.11265971e-12,29122.2592,2.05193346,2.56942078,-8.59741137e-05,4.19484589e-08,-1.00177799e-11,1.22833691e-15,29217.5791,4.78433864,"cantera bundled thermodynamic data, listed as O in air.yaml"
O2,200.0,1000.0,3500.0,3.78245636,-0.00299673416,9.84730201e-06,-9.68129509e-09,3.24372837e-12,-1063.94356,3.65767573,3.28253784,0.00148308754,-7.57966669e-07,2.09470555e-10,-2.16717794e-14,-1088.45772,5.45323129,"cantera bundled thermodynamic data, listed as O2 in air.yaml"
O2_a1Delta,200.0,1000.0,3500.0,3.78245636,-0.00299673416,9.84730201e-06,-9.68129509e-09,3.24372837e-12,10273.670526,3.65767573,3.28253784,0.00148308754,-7.57966669e-07,2.09470555e-10,-2.16717794e-14,10249.156366,5.45323129,O2 polynomial with the 0.977 eV level energy added to the enthalpy constant
O2_b1Sigma,200.0,1000.0,3500.0,3.78245636,-0.00299673416,9.84730201e-06,-9.68129509e-09,3.24372837e-12,17816.607226,3.65767573,3.28253784,0.00148308754,-7.57966669e-07,2.09470555e-10,-2.16717794e-14,17792.093066,5.45323129,O2 polynomial with the 1.627 eV level energy added to the enthalpy constant
O_1D,200.0,1000.0,3500.0,3.1682671,-0.00327931884,6.64306396e-06,-6.12806624e-09,2.11265971e-12,51948.346106,2.05193346,2.56942078,-8.59741137e-05,4.19484589e-08,-1.00177799e-11,1.22833691e-15,52043.666006,4.78433864,O polynomial with the 1.967 eV level energy added to the enthalpy constant
O_1S,200.0,1000.0,3500.0,3.1682671,-0.00327931884,6.64306396e-06,-6.12806624e-09,2.11265971e-12,77742.242072428,2.05193346,2.56942078,-8.59741137e-05,4.19484589e-08,-1.00177799e-11,1.22833691e-15,77837.561972428,4.78433864,O polynomial with the 4.19 eV level energy added to the enthalpy constant
S,200.0,368.3,368.3,0.371369512,0.0153373501,-3.35441107e-05,2.892495e-08,0.0,-553.21385,-1.59624498,0.371369512,0.0153373501,-3.35441107e-05,2.892495e-08,0.0,-553.21385,-1.59624498,"cantera bundled thermodynamic data, listed as S(cr1) in nasa_condensed.yaml"
S+,298.15,1000.0,6000.0,2.5,0.0,0.0,0.0,0.0,153478.145,5.43627019,2.46524359,0.000114257212,-1.19572699e-07,4.38771359e-11,-3.80523639e-15,153485.422,5.60821371,"cantera bundled thermodynamic data, listed as S+ in nasa_gas.yaml"
SF,300.0,1000.0,5000.0,3.4208175,0.0045511198,-7.9372564e-06,6.5004711e-09,-2.0289665e-12,396.09503,6.54700583,4.3690885,0.00019204424,-6.6630365e-08,1.244859e-11,-7.6537494e-16,220.18526,2.07596863,"cantera bundled thermodynamic data, listed as SF in nasa_gas.yaml"
SF+,300.0,1000.0,5000.0,2.6666648,0.0056975491,-7.6057422e-06,4.9119455e-09,-1.2414514e-12,118310.33,10.5150193,4.2807248,0.00010367433,5.5441665e-08,-1.1433295e-11,5.5846906e-16,117921.92,2.45939467,"cantera bundled thermodynamic data, listed as SF+ in nasa_gas.yaml"
SF2,300.0,1000.0,5000.0,2.4103056,0.015590121,-2.3178018e-05,1.6583497e-08,-4.6465761e-12,-36916.373,13.5066803,6.1194196,0.0010051424,-4.4653313e-07,8.762401e-11,-6.3236512e-15,-37714.241,-4.55717411,"cantera bundled thermodynamic data, listed as SF2 in nasa_gas.yaml"
SF2+,300.0,1000.0,5000.0,2.427149,0.015517546,-2.3060259e-05,1.6499612e-08,-4.6246418e-12,83239.557,14.1278866,6.1209,0.00099984817,-4.3992932e-07,8.4368137e-11,-5.7795378e-15,82444.585,-3.86307542,"cantera bundled thermodynamic data, listed as SF2+ in nasa_gas.yaml"
SF3,300.0,1000.0,5000.0,1.8777728,0.031234035,-5.1571379e-05,4.0247322e-08,-1.2110594e-11,-62067.939,16.3694361,8.8076897,0.0013671676,-6.0808333e-07,1.1883022e-10,-8.4470915e-15,-63440.494,-16.7648869,"cantera bundled thermodynamic data, listed as SF3 in nasa_gas.yaml"
SF3+,300.0,1000.0,5000.0,1.0018508,0.029755155,-4.3356794e-05,3.0554964e-08,-8.4633479e-12,46044.184,19.4445008,8.1385016,0.0021288914,-9.4836822e-07,1.8607436e-10,-1.3271729e-14,44486.73,-15.4212422,"cantera bundled thermodynamic data, listed as SF3+ in nasa_gas.yaml"
SF4,300.0,1000.0,5000.0,1.2819645,0.043569899,-7.0125168e-05,5.3677244e-08,-1.5914356e-11,-93586.701,18.4198703,11.124383,0.0021457994,-9.5452444e-07,1.8746111e-10,-1.3535953e-14,-95581.669,-28.8756477,"cantera bundled thermodynamic data, listed as SF4 in nasa_gas.yaml"
SF4+,300.0,1000.0,5000.0,1.9615813,0.042132094,-6.9155565e-05,5.3720666e-08,-1.6105895e-11,48094.74,16.3799008,11.351941,0.0018875662,-8.3904062e-07,1.6414938e-10,-1.1735195e-14,46224.767,-28.5715082,"cantera bundled thermodynamic data, listed as SF4+ in nasa_gas.yaml"
SF5,300.0,1000.0,5000.0,-1.7147662,0.068716008,-0.00011407933,8.9336379e-08,-2.6940429e-11,-110961.78,30.2724678,13.610563,0.002652313,-1.1691463e-06,2.4245132e-10,-1.8314718e-14,-114002.93,-43.0151012,"cantera bundled thermodynamic data, listed as SF5 in nasa_gas.yaml"
SF5+,300.0,1000.0,5000.0,-1.7164861,0.068940046,-0.00011471051,8.9977865e-08,-2.7166326e-11,19061.149,29.4445133,13.684216,0.0025177023,-1.0854393e-06,2.2533745e-10,-1.7223917e-14,16004.908,-44.1997237,"cantera bundled thermodynamic data, listed as SF5+ in nasa_gas.yaml"
SF6,300.0,1000.0,5000.0,-3.8388088,0.083221721,-0.00013181689,9.9636154e-08,-2.9248767e-11,-148364.77,37.1611426,15.16295,0.0043842318,-1.9486337e-06,3.8247196e-10,-2.760505e-14,-152268.01,-54.4157194,"cantera bundled thermodynamic data, listed as SF6 in nasa_gas.yaml"
SO,300.0,1000.0,5000.0,3.1490233,0.0011839347,2.5740686e-06,-4.4443419e-09,1.8735159e-12,-404.07571,8.31987915,4.0142873,0.00027022817,8.2896667e-08,-3.4323741e-11,3.1121444e-15,-710.51956,3.49973505,"cantera bundled thermodynamic data, listed as SO in nasa_gas.yaml"
SO2,300.0,1000.0,5000.0,3.2665338,0.0053237902,6.8437552e-07,-5.2810047e-09,2.5590454e-12,-36908.148,9.66465108,5.2451364,0.0019704204,-8.0375769e-07,1.5149969e-10,-1.0558004e-14,-37558.227,-1.07404892,"cantera bundled thermodynamic data, listed as SO2 in nasa_gas.yaml"
SO2F2,300.0,1000.0,5000.0,1.732468,0.02850176,-2.9453798e-05,1.24013e-08,-1.1715533e-12,-92781.393,16.94841,9.6078885,0.0037111026,-1.5899114e-06,3.0232464e-10,-2.1228577e-14,-94754.768,-22.848942,"cantera bundled thermodynamic data, listed as SO2F2 in nasa_gas.yaml"
