candidate,reaction_type,matched_source,channel_scope,verdict,reason,id
Ar- + Ar -> 2 Ar + e,Collisional electron detachment,,,unknown,no source lists this exact equation,rxn_754c5eca1437
Ar+ + Ar(m) -> Ar+ + Ar,Ion-induced deexcitation,,,unknown,no source lists this exact equation,rxn_32e0ff81482e
Ar+ + Ar(r) -> Ar+ + Ar,Ion-induced deexcitation,,,unknown,no source lists this exact equation,rxn_8bb2a60a7fbc
Ar- + Ar(m) -> Ar- + Ar,Ion-induced deexcitation,,,unknown,no source lists this exact equation,rxn_ffe8fc60e569
Ar- + Ar(r) -> Ar- + Ar,Ion-induced deexcitation,,,unknown,no source lists this exact equation,rxn_634f6e55908a
Ar+ + Ar -> Ar+ + Ar(m),Ion-induced excitation,,,unknown,no source lists this exact equation,rxn_c93e3d600f78
Ar+ + Ar -> Ar+ + Ar(r),Ion-induced excitation,,,unknown,no source lists this exact equation,rxn_f07d0ba16e30
Ar- + Ar -> Ar- + Ar(m),Ion-induced excitation,,,unknown,no source lists this exact equation,rxn_fab0902a6843
Ar- + Ar -> Ar- + Ar(r),Ion-induced excitation,,,unknown,no source lists this exact equation,rxn_26b94c20754e
Ar+ + Ar- -> 2 Ar,Ion-ion mutual neutralization,,,unknown,no source lists this exact equation,rxn_7f218ecf9f30
Ar+ + Ar -> Ar+ + Ar,Resonant charge exchange,,,unknown,no source lists this exact equation,rxn_42da360d77cf
Ar- + Ar -> Ar- + Ar,Resonant charge exchange,,,unknown,no source lists this exact equation,rxn_2d9ccfcce5d9
