candidate,reaction_type,delta_h_eV,delta_g_eV,threshold_eV,verdict,reason,id
Ar- + Ar -> 2 Ar + e,Collisional electron detachment,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_754c5eca1437
Ar+ + Ar(m) -> Ar+ + Ar,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_32e0ff81482e
Ar+ + Ar(r) -> Ar+ + Ar,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_8bb2a60a7fbc
Ar- + Ar(m) -> Ar- + Ar,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_ffe8fc60e569
Ar- + Ar(r) -> Ar- + Ar,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_634f6e55908a
Ar+ + Ar -> Ar+ + Ar(m),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_c93e3d600f78
Ar+ + Ar -> Ar+ + Ar(r),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_f07d0ba16e30
Ar- + Ar -> Ar- + Ar(m),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_fab0902a6843
Ar- + Ar -> Ar- + Ar(r),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_26b94c20754e
Ar+ + Ar- -> 2 Ar,Ion-ion mutual neutralization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_7f218ecf9f30
Ar+ + Ar -> Ar+ + Ar,Resonant charge exchange,0.0,8.648714265686214e-16,,pass,reaction energy or threshold is available,rxn_42da360d77cf
Ar- + Ar -> Ar- + Ar,Resonant charge exchange,,,,pass,reaction energy or threshold is available,rxn_2d9ccfcce5d9
