candidate,reaction_type,matched_source,channel_scope,verdict,reason,id
e + CF4 -> CF3- + F,Electron attachment,registry:e_CF4_attachment_CF3m,product_resolved,pass,an exact state-resolved equation is listed,rxn_6add53007d4d
e + CF4 -> F- + CF3,Electron attachment,registry:e_CF4_attachment_Fm,product_resolved,pass,an exact state-resolved equation is listed,rxn_d5cbaabe8754
e + F2 -> F- + F,Electron attachment,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014).",product_resolved,pass,an exact state-resolved equation is listed,rxn_41a18c13fd0a
e + Ar(4s) -> Ar + e,Electron-impact deexcitation (superelastic),registry:e_Ar4s_superelastic,product_resolved,pass,an exact state-resolved equation is listed,rxn_085bec441ad0
e + C(¹D) -> C + e,Electron-impact deexcitation (superelastic),"NIST Atomic Spectra Database, energy levels (energy1.pl)",product_resolved,pass,an exact state-resolved equation is listed,rxn_9530f504d9e5
e + C(¹S) -> C + e,Electron-impact deexcitation (superelastic),"NIST Atomic Spectra Database, energy levels (energy1.pl)",product_resolved,pass,an exact state-resolved equation is listed,rxn_7d224670cb65
e + C2F3 -> CF2 + CF + e,Electron-impact dissociation,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014), Table 1.",product_resolved,pass,an exact state-resolved equation is listed,rxn_e9a3bc3ff825
e + C2F4 -> 2 CF2 + e,Electron-impact dissociation,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014), Table 1.",product_resolved,pass,an exact state-resolved equation is listed,rxn_2401799501e7
e + CF2 -> C + 2 F + e,Electron-impact dissociation,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014), Table 1, R10.",product_resolved,pass,an exact state-resolved equation is listed,rxn_aa74617768be
e + CF4 -> CF2 + 2 F + e,Electron-impact dissociation,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014).",product_resolved,pass,an exact state-resolved equation is listed,rxn_1e49bb9b8128
e + C2F4 -> C2F3+ + F + 2 e,Dissociative ionization,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014), Table 1.",product_resolved,pass,an exact state-resolved equation is listed,rxn_2b4bc884f137
e + CF4 -> CF2+ + 2 F + 2 e,Dissociative ionization,registry:e_CF4_dissociative_ionization_CF2p,product_resolved,pass,an exact state-resolved equation is listed,rxn_3d2bff0614a8
e + CF4 -> F+ + CF3 + 2 e,Dissociative ionization,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014).",product_resolved,pass,an exact state-resolved equation is listed,rxn_10b57a76ce1d
e + Ar(4s) -> Ar(4s) + e,Electron elastic scattering,registry:e_Ar4s_elastic,product_resolved,pass,an exact state-resolved equation is listed,rxn_49cd032be260
e + C(¹D) -> C(¹D) + e,Electron elastic scattering,"NIST Atomic Spectra Database, energy levels (energy1.pl)",product_resolved,pass,an exact state-resolved equation is listed,rxn_729e864828ae
e + C(¹S) -> C(¹S) + e,Electron elastic scattering,"NIST Atomic Spectra Database, energy levels (energy1.pl)",product_resolved,pass,an exact state-resolved equation is listed,rxn_93d0a1400049
e + Ar -> Ar(4s) + e,Electron-impact excitation,registry:e_Ar_excitation_4s_lumped,product_resolved,pass,an exact state-resolved equation is listed,rxn_683f67de893f
e + C -> C(¹D) + e,Electron-impact excitation,"NIST Atomic Spectra Database, energy levels (energy1.pl)",product_resolved,pass,an exact state-resolved equation is listed,rxn_05ea310bde2f
e + C -> C(¹S) + e,Electron-impact excitation,"NIST Atomic Spectra Database, energy levels (energy1.pl)",product_resolved,pass,an exact state-resolved equation is listed,rxn_e9c8f0aba272
e + Ar(4s) -> Ar+ + 2 e,Electron-impact ionization,registry:e_Ar4s_stepwise_ionization,product_resolved,pass,an exact state-resolved equation is listed,rxn_1a8a97d93128
e + Ar -> Ar-,Electron attachment,,,unknown,no source lists this exact equation,rxn_4374da9c1d1c
e + CF4 -> CF4-,Electron attachment,,,unknown,no source lists this exact equation,rxn_8890662a4716
e + CF4 -> CF2 + F2 + e,Electron-impact dissociation,,,unknown,no source lists this exact equation,rxn_1c368b1b9f67
e + CF4 -> CF3 + F + e,Electron-impact dissociation,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014).",product_resolved,pass,an exact state-resolved equation is listed,rxn_e01a8d5147ca
e + CF4 -> CF2- + F2,Dissociative electron attachment,,,unknown,no source lists this exact equation,rxn_b0abeda1b204
e + CF4 -> CF3- + F,Dissociative electron attachment,registry:e_CF4_attachment_CF3m,product_resolved,unknown,the equation is listed only for a different physical process,rxn_e1773279104f
e + CF4 -> F- + CF3,Dissociative electron attachment,registry:e_CF4_attachment_Fm,product_resolved,unknown,the equation is listed only for a different physical process,rxn_46b6f98027d9
e + CF4 -> F2- + CF2,Dissociative electron attachment,,,unknown,no source lists this exact equation,rxn_b820d11ebbfb
e + CF4 -> CF2+ + F2 + 2 e,Dissociative ionization,,,unknown,no source lists this exact equation,rxn_9270da68b5d8
e + CF4 -> CF3+ + F + 2 e,Dissociative ionization,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014).",product_resolved,pass,an exact state-resolved equation is listed,rxn_4c038dd3c3f7
e + Ar -> Ar + e,Electron elastic scattering,registry:e_Ar_elastic,product_resolved,pass,an exact state-resolved equation is listed,rxn_c8f95c3d8ede
e + CF4 -> CF4 + e,Electron elastic scattering,registry:e_CF4_elastic,product_resolved,pass,an exact state-resolved equation is listed,rxn_34d7414ac2cf
e + Ar -> Ar(m) + e,Electron-impact excitation,,,unknown,no source lists this exact equation,rxn_86e8fb853dd8
e + Ar -> Ar(r) + e,Electron-impact excitation,,,unknown,no source lists this exact equation,rxn_271084b2fc94
e + CF4 -> CF4(v) + e,Electron-impact excitation,,,unknown,no source lists this exact equation,rxn_1264e939ac75
e + CF4 -> CF4* + e,Electron-impact excitation,,,unknown,no source lists this exact equation,rxn_888b1a9be272
e + Ar -> Ar+ + 2 e,Electron-impact ionization,registry:e_Ar_ionization,product_resolved,pass,an exact state-resolved equation is listed,rxn_a69a28bff768
e + CF4 -> CF4+ + 2 e,Electron-impact ionization,registry:e_CF4_ionization_parent_effective,product_resolved,unknown,matching equation records are not reviewed,rxn_3c3488db3523
e + CF2 -> CF2-,Electron attachment,,,unknown,no source lists this exact equation,rxn_fc076edc8d0d
e + CF3 -> CF3-,Electron attachment,,,unknown,no source lists this exact equation,rxn_6add7c2eef73
