metric,layer,entity,category,count,total
assessment_verdict,consistency,state,pass,37,37
assessment_verdict,consistency,state,fail,0,37
assessment_verdict,consistency,state,unknown,0,37
assessment_verdict,consistency,state,not_applicable,0,37
assessment_verdict,consistency,reaction,pass,906,906
assessment_verdict,consistency,reaction,fail,0,906
assessment_verdict,consistency,reaction,unknown,0,906
assessment_verdict,consistency,reaction,not_applicable,0,906
assessment_verdict,state,state,pass,26,37
assessment_verdict,state,state,fail,2,37
assessment_verdict,state,state,unknown,9,37
assessment_verdict,state,state,not_applicable,0,37
assessment_verdict,state,reaction,pass,418,906
assessment_verdict,state,reaction,fail,121,906
assessment_verdict,state,reaction,unknown,367,906
assessment_verdict,state,reaction,not_applicable,0,906
assessment_verdict,thermochemistry,state,pass,17,37
assessment_verdict,thermochemistry,state,fail,0,37
assessment_verdict,thermochemistry,state,unknown,19,37
assessment_verdict,thermochemistry,state,not_applicable,1,37
assessment_verdict,thermochemistry,reaction,pass,223,906
assessment_verdict,thermochemistry,reaction,fail,7,906
assessment_verdict,thermochemistry,reaction,unknown,676,906
assessment_verdict,thermochemistry,reaction,not_applicable,0,906
assessment_verdict,reaction_evidence,state,pass,0,0
assessment_verdict,reaction_evidence,state,fail,0,0
assessment_verdict,reaction_evidence,state,unknown,0,0
assessment_verdict,reaction_evidence,state,not_applicable,0,0
assessment_verdict,reaction_evidence,reaction,pass,57,906
assessment_verdict,reaction_evidence,reaction,fail,0,906
assessment_verdict,reaction_evidence,reaction,unknown,849,906
assessment_verdict,reaction_evidence,reaction,not_applicable,0,906
assessment_verdict,kinetics,state,pass,0,0
assessment_verdict,kinetics,state,fail,0,0
assessment_verdict,kinetics,state,unknown,0,0
assessment_verdict,kinetics,state,not_applicable,0,0
assessment_verdict,kinetics,reaction,pass,19,906
assessment_verdict,kinetics,reaction,fail,0,906
assessment_verdict,kinetics,reaction,unknown,887,906
assessment_verdict,kinetics,reaction,not_applicable,0,906
reaction_readiness,cumulative,reaction,All reaction candidates,906,906
reaction_readiness,cumulative,reaction,Consistency pass,906,906
reaction_readiness,cumulative,reaction,+ State pass,418,906
reaction_readiness,cumulative,reaction,+ Thermochemistry pass,196,906
reaction_readiness,cumulative,reaction,+ Reaction evidence pass,47,906
reaction_readiness,cumulative,reaction,+ Kinetics pass,11,906
state_charge,all,state,negative (-1),10,37
state_charge,all,state,neutral (0),17,37
state_charge,all,state,positive (+1),10,37
state_excitation,all,state,electron,1,37
state_excitation,all,state,electronic,6,37
state_excitation,all,state,ground,29,37
state_excitation,all,state,vibrational,1,37
state_resolution,all,state,lumped,5,37
state_resolution,all,state,resolved,32,37
state_lifetime_class,all,state,metastable,3,37
state_lifetime_class,all,state,mixed_metastable_resonant,1,37
state_lifetime_class,all,state,not_applicable,31,37
state_lifetime_class,all,state,resonant_radiative,1,37
state_lifetime_class,all,state,unspecified,1,37
reaction_family,all,reaction,electron,135,906
reaction_family,all,reaction,ion,670,906
reaction_family,all,reaction,neutral,99,906
reaction_family,all,reaction,surface,2,906
reaction_depth,all,reaction,0,35,906
reaction_depth,all,reaction,1,20,906
reaction_depth,all,reaction,2,478,906
reaction_depth,all,reaction,3,373,906
