candidate,reaction_type,delta_h_eV,delta_g_eV,threshold_eV,verdict,reason,id
e + CF4 -> CF3- + F,Electron attachment,,,4.5,fail,direct attachment cannot create the explicitly unbound parent anion,rxn_6add53007d4d
e + CF4 -> F- + CF3,Electron attachment,2.242879725314177,,4.7,fail,direct attachment cannot create the explicitly unbound parent anion,rxn_d5cbaabe8754
e + F2 -> F- + F,Electron attachment,-1.755821274685823,,0.0,pass,reaction energy or threshold is available,rxn_41a18c13fd0a
e + Ar(4s) -> Ar + e,Electron-impact deexcitation (superelastic),-11.6,,0.0,pass,reaction energy or threshold is available,rxn_085bec441ad0
e + C(¹D) -> C + e,Electron-impact deexcitation (superelastic),-1.2637279999999995,,0.0,pass,reaction energy or threshold is available,rxn_9530f504d9e5
e + C(¹S) -> C + e,Electron-impact deexcitation (superelastic),-2.6840140000000003,,0.0,pass,reaction energy or threshold is available,rxn_7d224670cb65
e + C2F3 -> CF2 + CF + e,Electron-impact dissociation,,,3.06,pass,reaction energy or threshold is available,rxn_e9a3bc3ff825
e + C2F4 -> 2 CF2 + e,Electron-impact dissociation,3.2261898451201767,,3.06,pass,reaction energy or threshold is available,rxn_2401799501e7
e + CF2 -> C + 2 F + e,Electron-impact dissociation,10.96147007743991,,11.0,pass,reaction energy or threshold is available,rxn_aa74617768be
e + CF4 -> CF2 + 2 F + e,Electron-impact dissociation,9.432812922560089,,15.0,pass,reaction energy or threshold is available,rxn_1e49bb9b8128
e + C2F4 -> C2F3+ + F + 2 e,Dissociative ionization,,,15.57,pass,reaction energy or threshold is available,rxn_2b4bc884f137
e + CF4 -> CF2+ + 2 F + 2 e,Dissociative ionization,,,20.3,pass,reaction energy or threshold is available,rxn_3d2bff0614a8
e + CF4 -> F+ + CF3 + 2 e,Dissociative ionization,23.066890725314178,,23.1,pass,reaction energy or threshold is available,rxn_10b57a76ce1d
e + Ar(4s) -> Ar(4s) + e,Electron elastic scattering,0.0,,0.0,pass,reaction energy or threshold is available,rxn_49cd032be260
e + C(¹D) -> C(¹D) + e,Electron elastic scattering,0.0,,0.0,pass,reaction energy or threshold is available,rxn_729e864828ae
e + C(¹S) -> C(¹S) + e,Electron elastic scattering,0.0,,0.0,pass,reaction energy or threshold is available,rxn_93d0a1400049
e + Ar -> Ar(4s) + e,Electron-impact excitation,11.6,,11.6,pass,reaction energy or threshold is available,rxn_683f67de893f
e + C -> C(¹D) + e,Electron-impact excitation,1.2637279999999995,,1.263728,pass,reaction energy or threshold is available,rxn_05ea310bde2f
e + C -> C(¹S) + e,Electron-impact excitation,2.6840140000000003,,2.684014,pass,reaction energy or threshold is available,rxn_e9c8f0aba272
e + Ar(4s) -> Ar+ + 2 e,Electron-impact ionization,4.159610000000001,,4.16,pass,reaction energy or threshold is available,rxn_1a8a97d93128
e + Ar -> Ar-,Electron attachment,,,,fail,direct attachment cannot create the explicitly unbound parent anion,rxn_4374da9c1d1c
e + CF4 -> CF4-,Electron attachment,,,,fail,direct attachment cannot create the explicitly unbound parent anion,rxn_8890662a4716
e + CF4 -> CF2 + F2 + e,Electron-impact dissociation,7.787504922560089,,,pass,reaction energy or threshold is available,rxn_1c368b1b9f67
e + CF4 -> CF3 + F + e,Electron-impact dissociation,5.6440090000000005,,12.5,pass,reaction energy or threshold is available,rxn_e01a8d5147ca
e + CF4 -> CF2- + F2,Dissociative electron attachment,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_b0abeda1b204
e + CF4 -> CF3- + F,Dissociative electron attachment,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_e1773279104f
e + CF4 -> F- + CF3,Dissociative electron attachment,2.242879725314177,,,pass,reaction energy or threshold is available,rxn_46b6f98027d9
e + CF4 -> F2- + CF2,Dissociative electron attachment,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_b820d11ebbfb
e + CF4 -> CF2+ + F2 + 2 e,Dissociative ionization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_9270da68b5d8
e + CF4 -> CF3+ + F + 2 e,Dissociative ionization,,,14.24,pass,reaction energy or threshold is available,rxn_4c038dd3c3f7
e + Ar -> Ar + e,Electron elastic scattering,0.0,,0.0,pass,reaction energy or threshold is available,rxn_c8f95c3d8ede
e + CF4 -> CF4 + e,Electron elastic scattering,0.0,,0.0,pass,reaction energy or threshold is available,rxn_34d7414ac2cf
e + Ar -> Ar(m) + e,Electron-impact excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_86e8fb853dd8
