equation,reaction_type,family,process,origin,depth,consistency_verdict,state_verdict,thermochemistry_verdict,reaction_evidence_verdict,kinetics_verdict,delta_h_eV,delta_g_eV,threshold_eV,kinetic_data,selected,exclusion_reason,id
e + CF4 -> CF3- + F,Electron attachment,electron,attachment,attested_only,0,pass,pass,fail,pass,unknown,,,4.5,,true,,rxn_6add53007d4d
e + CF4 -> F- + CF3,Electron attachment,electron,attachment,attested_only,0,pass,pass,fail,pass,unknown,2.242879725314177,,4.7,,true,,rxn_d5cbaabe8754
e + F2 -> F- + F,Electron attachment,electron,attachment,attested_only,0,pass,pass,pass,pass,unknown,-1.755821274685823,,0.0,,true,,rxn_41a18c13fd0a
e + Ar(4s) -> Ar + e,Electron-impact deexcitation (superelastic),electron,deexcitation,attested_only,0,pass,pass,pass,pass,unknown,-11.6,,0.0,,true,,rxn_085bec441ad0
e + C(¹D) -> C + e,Electron-impact deexcitation (superelastic),electron,deexcitation,attested_only,0,pass,pass,pass,pass,unknown,-1.2637279999999995,,0.0,,true,,rxn_9530f504d9e5
e + C(¹S) -> C + e,Electron-impact deexcitation (superelastic),electron,deexcitation,attested_only,0,pass,pass,pass,pass,unknown,-2.6840140000000003,,0.0,,true,,rxn_7d224670cb65
e + C2F3 -> CF2 + CF + e,Electron-impact dissociation,electron,dissociation,attested_only,0,pass,pass,pass,pass,unknown,,,3.06,,true,,rxn_e9a3bc3ff825
e + C2F4 -> 2 CF2 + e,Electron-impact dissociation,electron,dissociation,attested_only,0,pass,pass,pass,pass,unknown,3.2261898451201767,,3.06,,true,,rxn_2401799501e7
e + CF2 -> C + 2 F + e,Electron-impact dissociation,electron,dissociation,attested_only,0,pass,pass,pass,pass,unknown,10.96147007743991,,11.0,,true,,rxn_aa74617768be
e + CF4 -> CF2 + 2 F + e,Electron-impact dissociation,electron,dissociation,attested_only,0,pass,pass,pass,pass,unknown,9.432812922560089,,15.0,,true,,rxn_1e49bb9b8128
e + C2F4 -> C2F3+ + F + 2 e,Dissociative ionization,electron,dissociative_ionization,attested_only,0,pass,pass,pass,pass,unknown,,,15.57,,true,,rxn_2b4bc884f137
e + CF4 -> CF2+ + 2 F + 2 e,Dissociative ionization,electron,dissociative_ionization,attested_only,0,pass,pass,pass,pass,unknown,,,20.3,,true,,rxn_3d2bff0614a8
e + CF4 -> F+ + CF3 + 2 e,Dissociative ionization,electron,dissociative_ionization,attested_only,0,pass,pass,pass,pass,unknown,23.066890725314178,,23.1,,true,,rxn_10b57a76ce1d
e + Ar(4s) -> Ar(4s) + e,Electron elastic scattering,electron,elastic,attested_only,0,pass,pass,pass,pass,unknown,0.0,,0.0,,true,,rxn_49cd032be260
e + C(¹D) -> C(¹D) + e,Electron elastic scattering,electron,elastic,attested_only,0,pass,pass,pass,pass,unknown,0.0,,0.0,,true,,rxn_729e864828ae
