candidate,reaction_type,data_kind,unit,applicable_range,dataset_id,verdict,reason,id
2 Ar(4s) -> Ar+ + Ar + e,Associative ionization,rate_coefficient,m3/s,,ds_Ar4s_Ar4s_pooling_ionization,unknown,no usable cross section or rate coefficient,rxn_4f890c9f1ce9
O(¹D₂) + O2 -> O2(a¹Δg) + O,Neutral reactive scattering,rate_coefficient,m3/s,gas_temperature 104.0..424.0 K,ds_O1D_O2_quenching_a1Delta_rate_jpl_19_5,pass,a compatible numerical dataset covers the case conditions,rxn_7305fd87ad82
O(¹D₂) + O2 -> O2(b¹Σg+) + O,Neutral reactive scattering,rate_coefficient,m3/s,gas_temperature 104.0..424.0 K,ds_O1D_O2_quenching_b1Sigma_rate_jpl_19_5,pass,a compatible numerical dataset covers the case conditions,rxn_975e581a4893
O2(a¹Δg) + O2 -> 2 O2,Neutral reactive scattering,rate_coefficient,m3/s,,ds_O2a_O2_self_quenching_rate_1988,unknown,numbers exist but their applicability is undeclared or undecidable,rxn_2d2ad8dab8bd
2 O + M -> O2 + M,Three-body association,rate_coefficient,m6/s,,ds_O_O_M_recombination,unknown,no usable cross section or rate coefficient,rxn_ba3ba6b31781
Ar(m) + Ar -> Ar+ + Ar + e,Penning ionization,,,,,unknown,no usable cross section or rate coefficient,rxn_89b3c1f5c922
Ar(m) + O -> O+ + Ar + e,Penning ionization,,,,,unknown,no usable cross section or rate coefficient,rxn_664ed39e8711
Ar(m) + O2 -> O2+ + Ar + e,Penning ionization,,,,,unknown,no usable cross section or rate coefficient,rxn_5e4e401081e7
O2* + Ar -> Ar+ + O2 + e,Penning ionization,,,,,unknown,no usable cross section or rate coefficient,rxn_6fbef0792ecd
O2* + O -> O+ + O2 + e,Penning ionization,,,,,unknown,no usable cross section or rate coefficient,rxn_97e7f57e6baa
O2* + O2 -> O2+ + O2 + e,Penning ionization,,,,,unknown,no usable cross section or rate coefficient,rxn_1afa97c5ae80
Ar(m) + Ar -> 2 Ar,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_03cc6169a934
Ar(m) + Ar(r) -> Ar(m) + Ar,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_9c71d4efc801
Ar(m) + Ar(r) -> Ar(r) + Ar,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_a9821670c330
Ar(m) + O -> Ar + O,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_cd3f064c57e9
Ar(m) + O2 -> Ar + O2,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_d033903105a0
Ar(m) + O2(v) -> O2(v) + Ar,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_3238e70d569e
Ar(m) + O2* -> Ar(m) + O2,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_0664702fc8b3
Ar(m) + O2* -> O2* + Ar,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_8ebdaeab3d31
Ar(r) + Ar -> 2 Ar,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_cc4cbdb651ed
Ar(r) + O -> Ar + O,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_2d3b511c5644
Ar(r) + O2 -> Ar + O2,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_fa54f8a8e792
Ar(r) + O2(v) -> O2(v) + Ar,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_f93bf35caf1e
Ar(r) + O2* -> Ar(r) + O2,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_4ad9cf30bc80
Ar(r) + O2* -> O2* + Ar,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_dc471d9f9a8c
O2* + Ar -> Ar + O2,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_470de7c7998a
O2* + O -> O + O2,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_953abc47a76a
O2* + O2 -> 2 O2,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_3d41fa9089a3
O2* + O2(v) -> O2(v) + O2,Excited-state quenching,,,,,unknown,no usable cross section or rate coefficient,rxn_c561bbf02430
Ar(m) + O2(v) -> Ar(m) + O2,Vibrational-translational (V-T) relaxation,,,,,unknown,no usable cross section or rate coefficient,rxn_6ca88b0a54fa
Ar(r) + O2(v) -> Ar(r) + O2,Vibrational-translational (V-T) relaxation,,,,,unknown,no usable cross section or rate coefficient,rxn_813c0cfa7ce0
O2(v) + Ar -> Ar + O2,Vibrational-translational (V-T) relaxation,,,,,unknown,no usable cross section or rate coefficient,rxn_d24c19b6e6eb
O2(v) + O -> O + O2,Vibrational-translational (V-T) relaxation,,,,,unknown,no usable cross section or rate coefficient,rxn_f5c7d2b1a05f
O2(v) + O2 -> 2 O2,Vibrational-translational (V-T) relaxation,,,,,unknown,no usable cross section or rate coefficient,rxn_5fcbcf3fc37b
O2* + O2(v) -> O2* + O2,Vibrational-translational (V-T) relaxation,,,,,unknown,no usable cross section or rate coefficient,rxn_51dcf606e214
