candidate,reaction_type,delta_h_eV,delta_g_eV,threshold_eV,verdict,reason,id
Ar+ + O -> O+ + Ar,Charge exchange,-2.142031999999999,,,pass,reaction energy or threshold is available,rxn_baee40490ad8
Ar+ + O2 -> O2+ + Ar,Charge exchange,-3.689910000000001,,,pass,reaction energy or threshold is available,rxn_2d29145e0f98
Ar- + O -> O- + Ar,Charge exchange,,,,pass,reaction energy or threshold is available,rxn_1025dffb221c
Ar- + O2 -> O2- + Ar,Charge exchange,,,,pass,reaction energy or threshold is available,rxn_19e271a11252
O+ + Ar -> Ar+ + O,Charge exchange,2.1420320000000004,,,pass,reaction energy or threshold is available,rxn_81849ac06cf9
O+ + O2 -> O2+ + O,Charge exchange,-1.5478780000000025,,,pass,reaction energy or threshold is available,rxn_2bf32666fe5b
O- + Ar -> Ar- + O,Charge exchange,,,,pass,reaction energy or threshold is available,rxn_5d5111d16a78
O- + O2 -> O2- + O,Charge exchange,,,,pass,reaction energy or threshold is available,rxn_b4bebcad19c6
O2+ + Ar -> Ar+ + O2,Charge exchange,3.689910000000001,,,pass,reaction energy or threshold is available,rxn_88b106712082
O2+ + O -> O+ + O2,Charge exchange,1.547878000000002,,,pass,reaction energy or threshold is available,rxn_37bbce670254
O2- + Ar -> Ar- + O2,Charge exchange,,,,pass,reaction energy or threshold is available,rxn_3f735a110e81
O2- + O -> O- + O2,Charge exchange,,,,pass,reaction energy or threshold is available,rxn_9806fd0ca7ab
Ar- + Ar -> 2 Ar + e,Collisional electron detachment,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_754c5eca1437
Ar- + O -> Ar + O + e,Collisional electron detachment,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_75a6567cee43
Ar- + O2 -> Ar + O2 + e,Collisional electron detachment,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_9934f424f8c0
O- + Ar -> Ar + O + e,Collisional electron detachment,1.4605769999999998,,,pass,reaction energy or threshold is available,rxn_4db0a6c546c7
O- + O -> 2 O + e,Collisional electron detachment,1.4605770000000002,,,pass,reaction energy or threshold is available,rxn_a8c8162d07bf
O- + O2 -> O + O2 + e,Collisional electron detachment,1.4605769999999998,,,pass,reaction energy or threshold is available,rxn_2c4a5b821b8e
O2- + Ar -> Ar + O2 + e,Collisional electron detachment,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_cbe14dbb7875
O2- + O -> O + O2 + e,Collisional electron detachment,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_2927232caf86
O2- + O2 -> 2 O2 + e,Collisional electron detachment,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_69470fb52c9e
Ar+ + O -> Ar+ + O,Ion-neutral elastic scattering,1.3322676295501878e-15,-1.5919757232413564e-15,,pass,reaction energy or threshold is available,rxn_b23dfcecb0fc
Ar+ + O2 -> Ar+ + O2,Ion-neutral elastic scattering,0.0,-7.806804027433574e-16,,pass,reaction energy or threshold is available,rxn_116c2a39f075
Ar- + O -> Ar- + O,Ion-neutral elastic scattering,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_981ebdf563ba
Ar- + O2 -> Ar- + O2,Ion-neutral elastic scattering,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_37b2f906b55b
O+ + Ar -> O+ + Ar,Ion-neutral elastic scattering,0.0,,,pass,reaction energy or threshold is available,rxn_c8bbb52f16db
O+ + O2 -> O+ + O2,Ion-neutral elastic scattering,0.0,,,pass,reaction energy or threshold is available,rxn_217ec02f8a25
O- + Ar -> O- + Ar,Ion-neutral elastic scattering,0.0,0.0,,pass,reaction energy or threshold is available,rxn_1cb8cdec1cfe
O- + O2 -> O- + O2,Ion-neutral elastic scattering,0.0,-4.5922376631962204e-17,,pass,reaction energy or threshold is available,rxn_4e056b8323ea
O2+ + Ar -> O2+ + Ar,Ion-neutral elastic scattering,0.0,,,pass,reaction energy or threshold is available,rxn_644e62d637ce
O2+ + O -> O2+ + O,Ion-neutral elastic scattering,-4.440892098500626e-16,,,pass,reaction energy or threshold is available,rxn_33a5160d5967
O2- + Ar -> O2- + Ar,Ion-neutral elastic scattering,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_b9dcc46f86f8
O2- + O -> O2- + O,Ion-neutral elastic scattering,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_470cf8775707
Ar+ + Ar(m) -> Ar+ + Ar,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_32e0ff81482e
Ar+ + Ar(r) -> Ar+ + Ar,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_8bb2a60a7fbc
Ar- + Ar(m) -> Ar- + Ar,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_ffe8fc60e569
Ar- + Ar(r) -> Ar- + Ar,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_634f6e55908a
