candidate,excitation,resolution,lifetime_class,state_meaning,alternative_resolution_states,verdict,reason,id
Ar,ground,resolved,not_applicable,electronic ground state,,pass,thermochemical representation is available,Ar@ground
Ar(4s),electronic,lumped,mixed_metastable_resonant,4s electronic-state manifold (lumped; mixed metastable/resonant),,pass,thermochemical representation is available,Ar@4s
O(¹D₂),electronic,resolved,metastable,resolved spectroscopic state ¹D₂,,pass,thermochemical representation is available,O@1d2
O(¹S),electronic,resolved,metastable,resolved spectroscopic state ¹S,,pass,thermochemical representation is available,O@1s
O2,ground,resolved,not_applicable,electronic ground state,,pass,thermochemical representation is available,O2@ground
O2(a¹Δg),electronic,resolved,metastable,resolved spectroscopic state a¹Δg,O2*,pass,thermochemical representation is available,O2@a1dg
O2(b¹Σg+),electronic,resolved,metastable,resolved spectroscopic state b¹Σg+,O2*,pass,thermochemical representation is available,O2@b1sg+
e,electron,resolved,not_applicable,free electron,,not_applicable,,e
Ar(m),electronic,lumped,metastable,metastable electronic-state manifold (lumped),,unknown,formation enthalpy or NASA coefficients are missing,Ar@metastable
Ar(r),electronic,lumped,resonant_radiative,resonant radiative electronic-state manifold (lumped),,unknown,formation enthalpy or NASA coefficients are missing,Ar@resonant
Ar+,ground,resolved,not_applicable,electronic ground state,,pass,thermochemical representation is available,Ar+@ground
Ar-,ground,resolved,not_applicable,electronic ground state,,unknown,formation enthalpy or NASA coefficients are missing,Ar-@ground
O,ground,resolved,not_applicable,electronic ground state,,pass,thermochemical representation is available,O@ground
O+,ground,resolved,not_applicable,electronic ground state,,pass,thermochemical representation is available,O+@ground
O-,ground,resolved,not_applicable,electronic ground state,,pass,thermochemical representation is available,O-@ground
O2(v),vibrational,lumped,not_applicable,vibrationally excited manifold (lumped),,unknown,formation enthalpy or NASA coefficients are missing,O2@vibrational
O2*,electronic,lumped,unspecified,electronic-state manifold (lumped; lifetime unspecified),O2(a¹Δg); O2(b¹Σg+),unknown,formation enthalpy or NASA coefficients are missing,O2@electronic
O2+,ground,resolved,not_applicable,electronic ground state,,pass,thermochemical representation is available,O2+@ground
O2-,ground,resolved,not_applicable,electronic ground state,,unknown,formation enthalpy or NASA coefficients are missing,O2-@ground
