candidate,reaction_type,verdict,reason,id
e + F2 -> F- + F,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_41a18c13fd0a
e + O2 -> O- + O,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_84e8fa1d3d48
e + SF5 -> F- + SF4,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_bcc8fe63af38
e + SF6 -> F- + F + SF4,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_63c9a5497cf1
e + SF6 -> F- + SF5,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_afbcbb5bf112
e + SF6 -> F2- + SF4,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_64e971aca697
e + SF6 -> SF2- + 4 F,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_b7378861e5ce
e + SF6 -> SF3- + 3 F,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_b46ef585f02e
e + SF6 -> SF4- + 2 F,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_aa50cb9817ba
e + SF6 -> SF5- + F,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_0d7ad2c6ac40
e + Ar(4s) -> Ar + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_085bec441ad0
e + O(¹D₂) -> O + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_4b45a93b7f18
e + O(¹S) -> O + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_2be53d0776c7
e + O2(a¹Δg) -> O2 + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_3ce8fb5e8663
e + O2(b¹Σg+) -> O2 + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_727d49330314
e + S(¹D) -> S + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_6248d2ae34f8
e + S(¹S) -> S + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_260303df7a8d
e + O2 -> O(¹D₂) + O + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_123a76ecfe44
e + SF6 -> 2 F + SF2 + F2 + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_47a504099cad
e + SF6 -> 2 F + SF4 + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_287eef0e196e
e + SF6 -> 3 F + SF + F2 + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_300af5571dff
e + SF6 -> 3 F + SF3 + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_1e041fba58da
e + SF6 -> F+ + F + SF4 + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_e81dc7ddf993
e + SF6 -> S+ + 4 F + F2 + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_e620761e82c5
e + SF6 -> SF+ + 3 F + F2 + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_85122c3bf4e1
e + SF6 -> SF2+ + 2 F + F2 + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_c06ee32be57d
e + SF6 -> SF3+ + 3 F + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_7dd0a7f249c9
e + SF6 -> SF4+ + 2 F + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_f2ec2624c9bd
