species,formula,charge,excitation,resolution,lifetime_class,state_meaning,alternative_resolution_states,origin,depth,id
Ar+,Ar,1,ground,resolved,not_applicable,electronic ground state,,mechanical,1,Ar+@ground
Ar(4s),Ar,0,electronic,lumped,mixed_metastable_resonant,4s electronic-state manifold (lumped; mixed metastable/resonant),,attested_only,0,Ar@4s
Ar,Ar,0,ground,resolved,not_applicable,electronic ground state,,mechanical,0,Ar@ground
F+,F,1,ground,resolved,not_applicable,electronic ground state,,mechanical,2,F+@ground
F-,F,-1,ground,resolved,not_applicable,electronic ground state,,mechanical,1,F-@ground
F2,F2,0,ground,resolved,not_applicable,electronic ground state,,mechanical,1,F2@ground
F,F,0,ground,resolved,not_applicable,electronic ground state,,mechanical,1,F@ground
O+,O,1,ground,resolved,not_applicable,electronic ground state,,mechanical,1,O+@ground
O-,O,-1,ground,resolved,not_applicable,electronic ground state,,mechanical,1,O-@ground
O2+,O2,1,ground,resolved,not_applicable,electronic ground state,,mechanical,1,O2+@ground
O2(a¹Δg),O2,0,electronic,resolved,metastable,resolved spectroscopic state a¹Δg,O2*,attested_only,0,O2@a1dg
O2(b¹Σg+),O2,0,electronic,resolved,metastable,resolved spectroscopic state b¹Σg+,O2*,attested_only,0,O2@b1sg+
O2,O2,0,ground,resolved,not_applicable,electronic ground state,,mechanical,0,O2@ground
O(¹D₂),O,0,electronic,resolved,metastable,resolved spectroscopic state ¹D₂,,attested_only,0,O@1d2
O(¹S),O,0,electronic,resolved,metastable,resolved spectroscopic state ¹S,,attested_only,0,O@1s
O,O,0,ground,resolved,not_applicable,electronic ground state,,mechanical,1,O@ground
OF,OF,0,ground,resolved,not_applicable,electronic ground state,,mechanical,2,OF@ground
S+,S,1,ground,resolved,not_applicable,electronic ground state,,mechanical,3,S+@ground
S(¹D),S,0,electronic,resolved,metastable,resolved spectroscopic state ¹D,,attested_only,0,S@1d
S(¹S),S,0,electronic,resolved,metastable,resolved spectroscopic state ¹S,,attested_only,0,S@1s
S,S,0,ground,resolved,not_applicable,electronic ground state,,mechanical,3,S@ground
SF+,SF,1,ground,resolved,not_applicable,electronic ground state,,mechanical,3,SF+@ground
SF2+,SF2,1,ground,resolved,not_applicable,electronic ground state,,mechanical,2,SF2+@ground
SF2-,SF2,-1,ground,resolved,not_applicable,electronic ground state,,mechanical,2,SF2-@ground
SF2,SF2,0,ground,resolved,not_applicable,electronic ground state,,mechanical,2,SF2@ground
SF3+,SF3,1,ground,resolved,not_applicable,electronic ground state,,mechanical,2,SF3+@ground
SF3-,SF3,-1,ground,resolved,not_applicable,electronic ground state,,mechanical,2,SF3-@ground
SF3,SF3,0,ground,resolved,not_applicable,electronic ground state,,mechanical,2,SF3@ground
SF4+,SF4,1,ground,resolved,not_applicable,electronic ground state,,mechanical,1,SF4+@ground
SF4-,SF4,-1,ground,resolved,not_applicable,electronic ground state,,mechanical,1,SF4-@ground
SF4,SF4,0,ground,resolved,not_applicable,electronic ground state,,mechanical,1,SF4@ground
SF5+,SF5,1,ground,resolved,not_applicable,electronic ground state,,mechanical,1,SF5+@ground
SF5-,SF5,-1,ground,resolved,not_applicable,electronic ground state,,mechanical,1,SF5-@ground
SF5,SF5,0,ground,resolved,not_applicable,electronic ground state,,mechanical,1,SF5@ground
SF6-,SF6,-1,ground,resolved,not_applicable,electronic ground state,,mechanical,1,SF6-@ground
SF6,SF6,0,ground,resolved,not_applicable,electronic ground state,,mechanical,0,SF6@ground
SF,SF,0,ground,resolved,not_applicable,electronic ground state,,mechanical,3,SF@ground
SO2,SO2,0,ground,resolved,not_applicable,electronic ground state,,attested_only,0,SO2@ground
SO2F2,SO2F2,0,ground,resolved,not_applicable,electronic ground state,,attested_only,0,SO2F2@ground
SO,SO,0,ground,resolved,not_applicable,electronic ground state,,mechanical,4,SO@ground
SOF2,SOF2,0,ground,resolved,not_applicable,electronic ground state,,attested_only,0,SOF2@ground
