equation,reaction_type,family,process,origin,depth,consistency_verdict,state_verdict,thermochemistry_verdict,reaction_evidence_verdict,kinetics_verdict,delta_h_eV,delta_g_eV,threshold_eV,kinetic_data,selected,exclusion_reason,id
e + F2 -> F- + F,Electron attachment,electron,attachment,attested_only,0,pass,pass,pass,pass,unknown,-1.755821274685823,,0.0,,true,,rxn_41a18c13fd0a
e + O2 -> O- + O,Electron attachment,electron,attachment,attested_only,0,pass,pass,pass,pass,unknown,3.705577,,3.66,,true,,rxn_84e8fa1d3d48
e + SF5 -> F- + SF4,Electron attachment,electron,attachment,attested_only,0,pass,pass,pass,pass,fail,-1.0730652746858222,,0.0,,true,,rxn_bcc8fe63af38
e + SF6 -> F- + F + SF4,Electron attachment,electron,attachment,attested_only,0,pass,pass,pass,pass,unknown,2.9837587253141766,,5.4,,true,,rxn_63c9a5497cf1
e + SF6 -> F- + SF5,Electron attachment,electron,attachment,attested_only,0,pass,pass,pass,pass,unknown,0.6556947253141754,,2.0,,true,,rxn_afbcbb5bf112
e + SF6 -> F2- + SF4,Electron attachment,electron,attachment,attested_only,0,pass,pass,pass,pass,unknown,,,5.4,,true,,rxn_64e971aca697
e + SF6 -> SF2- + 4 F,Electron attachment,electron,attachment,attested_only,0,pass,pass,pass,pass,unknown,,,12.0,,true,,rxn_b7378861e5ce
e + SF6 -> SF3- + 3 F,Electron attachment,electron,attachment,attested_only,0,pass,pass,pass,pass,unknown,,,11.2,,true,,rxn_b46ef585f02e
e + SF6 -> SF4- + 2 F,Electron attachment,electron,attachment,attested_only,0,pass,pass,pass,pass,unknown,,,5.4,,true,,rxn_aa50cb9817ba
e + SF6 -> SF5- + F,Electron attachment,electron,attachment,attested_only,0,pass,pass,pass,pass,unknown,,,0.0,,true,,rxn_0d7ad2c6ac40
e + Ar(4s) -> Ar + e,Electron-impact deexcitation (superelastic),electron,deexcitation,attested_only,0,pass,pass,pass,pass,unknown,-11.6,,0.0,,true,,rxn_085bec441ad0
e + O(¹D₂) -> O + e,Electron-impact deexcitation (superelastic),electron,deexcitation,attested_only,0,pass,pass,pass,pass,unknown,-1.966523,,0.0,,true,,rxn_4b45a93b7f18
e + O(¹S) -> O + e,Electron-impact deexcitation (superelastic),electron,deexcitation,attested_only,0,pass,pass,pass,pass,unknown,-4.1897459999999995,,0.0,,true,,rxn_2be53d0776c7
e + O2(a¹Δg) -> O2 + e,Electron-impact deexcitation (superelastic),electron,deexcitation,attested_only,0,pass,pass,pass,pass,unknown,-0.977,,0.0,,true,,rxn_3ce8fb5e8663
e + O2(b¹Σg+) -> O2 + e,Electron-impact deexcitation (superelastic),electron,deexcitation,attested_only,0,pass,pass,pass,pass,unknown,-1.627,,0.0,,true,,rxn_727d49330314
